ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
21320	21320	4.22700820170134e-115	2.49684292664777e-117	4734.9205516998	SPP1	secreted phosphoprotein 1	0.0534428814803922	GO:0001503(ossification)|GO:0005125(cytokine activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005737(cytoplasm)|GO:0007155(cell adhesion)|GO:0045177(apical part of cell)
28890	28890	5.93622061656978e-110	9.97582211180043e-112	3625.22333282004	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	-0.141943722333775	GO:0002504(antigen processing and presentation of peptide or polysaccharide antigen via MHC class II)|GO:0005886(plasma membrane)|GO:0006955(immune response)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0042613(MHC class II protein complex)
7052	7052	5.86302200949588e-108	1.2783343679495e-109	3278.39001097136	IL4	interleukin 4	-0.0557221297941176	GO:0005125(cytokine activity)|GO:0005136(interleukin-4 receptor binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006935(chemotaxis)|GO:0006968(cellular defense response)|GO:0008203(cholesterol metabolic process)|GO:0030183(B cell differentiation)|GO:0030890(positive regulation of B cell proliferation)|GO:0042092(T-helper 2 type immune response)|GO:0042104(positive regulation of activated T cell proliferation)|GO:0042325(regulation of phosphorylation)|GO:0042523(positive regulation of tyrosine phosphorylation of Stat5 protein)|GO:0043066(negative regulation of apoptosis)|GO:0045189(connective tissue growth factor biosynthetic process)|GO:0045191(regulation of isotype switching)|GO:0045348(positive regulation of MHC class II biosynthetic process)|GO:0045671(negative regulation of osteoclast differentiation)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0048295(positive regulation of isotype switching to IgE isotypes)|GO:0048304(positive regulation of isotype switching to IgG isotypes)|GO:0050731(positive regulation of peptidyl-tyrosine phosphorylation)|GO:0050776(regulation of immune response)
37172	37172	4.0839050045082e-107	9.50735355462299e-109	3144.83129010482	MICB	MHC class I polypeptide-related sequence B	-0.0688607398921569	GO:0002429(immune response-activating cell surface receptor signaling pathway)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006955(immune response)|GO:0006979(response to oxidative stress)|GO:0009408(response to heat)|GO:0016020(membrane)|GO:0019835(cytolysis)|GO:0019882(antigen processing and presentation)|GO:0032526(response to retinoic acid)|GO:0042612(MHC class I protein complex)|GO:0044419(interspecies interaction between organisms)|GO:0046629(gamma-delta T cell activation)|GO:0046703(natural killer cell lectin-like receptor binding)|GO:0050689(negative regulation of defense response to virus by host)
15416	15416	6.19890360560673e-107	1.4646471340558e-108	3116.78336733212	CMTM4	CKLF-like MARVEL transmembrane domain containing 4	-0.145805202686275	GO:0005125(cytokine activity)|GO:0005615(extracellular space)|GO:0006935(chemotaxis)|GO:0016020(membrane)|GO:0016021(integral to membrane)
8732	8732	1.18654618702781e-106	2.86535649751329e-108	3073.71902432541	COL3A1	collagen, type III, alpha 1	-0.0723034888146836	GO:0005178(integrin binding)|GO:0005201(extracellular matrix structural constituent)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005581(collagen)|GO:0005586(collagen type III)|GO:0005615(extracellular space)|GO:0007160(cell-matrix adhesion)|GO:0007179(transforming growth factor beta receptor signaling pathway)|GO:0007229(integrin-mediated signaling pathway)|GO:0007507(heart development)|GO:0009314(response to radiation)|GO:0018149(peptide cross-linking)|GO:0030168(platelet activation)|GO:0030199(collagen fibril organization)|GO:0032964(collagen biosynthetic process)|GO:0034097(response to cytokine stimulus)|GO:0042060(wound healing)|GO:0043206(fibril organization)|GO:0043588(skin development)|GO:0048407(platelet-derived growth factor binding)|GO:0050777(negative regulation of immune response)
7995	7995	1.07277182454943e-102	3.73680943054483e-104	2525.16902387693	BIN3	bridging integrator 3	-0.0558479839900623	GO:0000910(cytokinesis)|GO:0000917(barrier septum formation)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005856(cytoskeleton)|GO:0007015(actin filament organization)|GO:0007049(cell cycle)|GO:0008093(cytoskeletal adaptor activity)|GO:0008104(protein localization)|GO:0009826(unidimensional cell growth)
23625	23625	1.11422078698483e-101	4.20058913786845e-103	2401.45290496742	HLA-DRB1	major histocompatibility complex, class II, DR beta 1	-0.0961360054607843	GO:0002504(antigen processing and presentation of peptide or polysaccharide antigen via MHC class II)|GO:0005886(plasma membrane)|GO:0006955(immune response)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0042613(MHC class II protein complex)
21103	21103	4.56347500958275e-101	1.807723165092e-102	2329.76071895048	SPP1	secreted phosphoprotein 1	-0.141917169284314	GO:0001503(ossification)|GO:0005125(cytokine activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005737(cytoplasm)|GO:0007155(cell adhesion)|GO:0045177(apical part of cell)
26946	26946	2.31846474228413e-97	1.16809377217234e-98	1941.40992894437	RELA	v-rel reticuloendotheliosis viral oncogene homolog A (avian)	-0.0945122680196078	GO:0003700(transcription factor activity)|GO:0003705(RNA polymerase II transcription factor activity, enhancer binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005667(transcription factor complex)|GO:0005737(cytoplasm)|GO:0005829(cytosol)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006916(anti-apoptosis)|GO:0006954(inflammatory response)|GO:0006968(cellular defense response)|GO:0010033(response to organic substance)|GO:0010224(response to UV-B)|GO:0019221(cytokine-mediated signaling pathway)|GO:0019901(protein kinase binding)|GO:0042301(phosphate binding)|GO:0042802(identical protein binding)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0047485(protein N-terminus binding)|GO:0051059(NF-kappaB binding)|GO:0051092(positive regulation of NF-kappaB transcription factor activity)|GO:0051607(defense response to virus)
