ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
30882	30882	1.16401491826616e-123	1.01113179140563e-127	7766.30910966052	PHF20	PHD finger protein 20	-0.104335112039216	GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
3906	3906	1.58179583164725e-121	2.74808170890766e-125	6916.78461904525			-0.0911411708333333	
19857	19857	2.27313372829893e-120	7.20156305951943e-124	6465.20714828958	FAM82A1	family with sequence similarity 82, member A1	-0.139294841411765	GO:0005488(binding)|GO:0005737(cytoplasm)|GO:0005874(microtubule)|GO:0016020(membrane)|GO:0016021(integral to membrane)
26551	26551	7.87359318910088e-120	5.47157275128623e-123	6199.74625692624	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	0.0600069099509804	GO:0016020(membrane)|GO:0016021(integral to membrane)
24942	24942	1.08292370864802e-119	9.40691199312042e-123	6130.66977731226			-0.0937022179428291	
35028	35028	2.05716005406532e-119	1.9656671816121e-122	6037.95375419522			0.0727986196078431	
8420	8420	6.38143412998725e-119	6.65194662611596e-122	5887.64515606401	CCNY	cyclin Y	-0.0797804417647059	GO:0005634(nucleus)
36202	36202	7.75725889194923e-119	8.75993446797603e-122	5854.2238704678	REXO1L1	REX1, RNA exonuclease 1 homolog (S. cerevisiae)-like 1	-0.103361641245098	GO:0003676(nucleic acid binding)|GO:0004527(exonuclease activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0016787(hydrolase activity)
16270	16270	8.25078217913417e-119	1.00339602595447e-121	5837.80787664267	TTC37	tetratricopeptide repeat domain 37	-0.168964823480392	GO:0005488(binding)
40572	40572	2.10013507452814e-118	2.73645119161936e-121	5717.93113424585	RBPMS	RNA binding protein with multiple splicing	-0.0996833757096645	GO:0000166(nucleotide binding)|GO:0003723(RNA binding)|GO:0005515(protein binding)|GO:0006396(RNA processing)
20444	20444	4.0523626628123e-118	7.24797232472267e-121	5603.8936339762	PRRG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	0.0628078245882353	GO:0005509(calcium ion binding)|GO:0005576(extracellular region)|GO:0008150(biological_process)|GO:0016020(membrane)|GO:0016021(integral to membrane)
30034	30034	4.0523626628123e-118	7.7442649914759e-121	5596.22254929466	WDFY3	WD repeat and FYVE domain containing 3	0.0847574905686274	GO:0005488(binding)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0046872(metal ion binding)
22048	22048	7.19712418042279e-118	1.43792439323944e-120	5525.05112409676			-0.127584887039216	
20018	20018	7.66290163932929e-118	1.66411171806143e-120	5508.38145318033	LOC441052	hypothetical gene supported by AF131741	-0.105974060990196	
33203	33203	1.08991758341594e-117	2.55626952330007e-120	5459.69063555579	PRIM1	primase, DNA, polypeptide 1 (49kDa)	-0.118603831980392	GO:0003896(DNA primase activity)|GO:0005515(protein binding)|GO:0005654(nucleoplasm)|GO:0005658(alpha DNA polymerase:primase complex)|GO:0006260(DNA replication)|GO:0006269(DNA replication, synthesis of RNA primer)|GO:0006350(transcription)|GO:0008270(zinc ion binding)|GO:0016740(transferase activity)|GO:0016779(nucleotidyltransferase activity)|GO:0046872(metal ion binding)
43259	43259	1.94635076622137e-117	4.90307263902188e-120	5386.63018366433			-0.0735534542745098	
5714	5714	4.16475021589364e-117	1.12150153485669e-119	5295.22214950514			-0.0929860555098039	
