ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
9221	9221	3.53823011589995e-120	2.15146028590163e-123	6320.55972005731	CHRD	chordin	0.129810859529412	GO:0001501(skeletal system development)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007275(multicellular organismal development)|GO:0019955(cytokine binding)|GO:0021919(BMP signaling pathway in spinal cord dorsal-ventral patterning)|GO:0030336(negative regulation of cell migration)|GO:0030514(negative regulation of BMP signaling pathway)|GO:0033504(floor plate development)|GO:0045785(positive regulation of cell adhesion)
21320	21320	4.22700820170134e-115	2.49684292664777e-117	4734.9205516998	SPP1	secreted phosphoprotein 1	0.0534428814803922	GO:0001503(ossification)|GO:0005125(cytokine activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005737(cytoplasm)|GO:0007155(cell adhesion)|GO:0045177(apical part of cell)
2598	2598	2.37503118777791e-109	4.35312352867563e-111	3516.23951408662	CNTROB	centrobin, centrosomal BRCA2 interacting protein	0.10657441277451	GO:0000910(cytokinesis)|GO:0005814(centriole)|GO:0007049(cell cycle)|GO:0007099(centriole replication)|GO:0019904(protein domain specific binding)|GO:0051299(centrosome separation)
40081	40081	7.5440968764009e-109	1.47448036587057e-110	3428.46664685162	TNFRSF11B	tumor necrosis factor receptor superfamily, member 11b	0.127062960431373	GO:0001501(skeletal system development)|GO:0004872(receptor activity)|GO:0005125(cytokine activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005578(proteinaceous extracellular matrix)|GO:0006915(apoptosis)|GO:0007165(signal transduction)|GO:0042489(negative regulation of odontogenesis of dentine-containing tooth)
7052	7052	5.86302200949588e-108	1.2783343679495e-109	3278.39001097136	IL4	interleukin 4	-0.0557221297941176	GO:0005125(cytokine activity)|GO:0005136(interleukin-4 receptor binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006935(chemotaxis)|GO:0006968(cellular defense response)|GO:0008203(cholesterol metabolic process)|GO:0030183(B cell differentiation)|GO:0030890(positive regulation of B cell proliferation)|GO:0042092(T-helper 2 type immune response)|GO:0042104(positive regulation of activated T cell proliferation)|GO:0042325(regulation of phosphorylation)|GO:0042523(positive regulation of tyrosine phosphorylation of Stat5 protein)|GO:0043066(negative regulation of apoptosis)|GO:0045189(connective tissue growth factor biosynthetic process)|GO:0045191(regulation of isotype switching)|GO:0045348(positive regulation of MHC class II biosynthetic process)|GO:0045671(negative regulation of osteoclast differentiation)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0048295(positive regulation of isotype switching to IgE isotypes)|GO:0048304(positive regulation of isotype switching to IgG isotypes)|GO:0050731(positive regulation of peptidyl-tyrosine phosphorylation)|GO:0050776(regulation of immune response)
19711	19711	8.03019219873966e-105	2.32981601318541e-106	2805.75749463552	ADIPOQ	adiponectin, C1Q and collagen domain containing	0.0673826237647059	GO:0005125(cytokine activity)|GO:0005179(hormone activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005783(endoplasmic reticulum)|GO:0006006(glucose metabolic process)|GO:0006091(generation of precursor metabolites and energy)|GO:0006635(fatty acid beta-oxidation)|GO:0009749(response to glucose stimulus)|GO:0009967(positive regulation of signal transduction)|GO:0010739(positive regulation of protein kinase A signaling cascade)|GO:0010745(negative regulation of foam cell differentiation)|GO:0010804(negative regulation of tumor necrosis factor-mediated signaling pathway)|GO:0030853(negative regulation of granulocyte differentiation)|GO:0032720(negative regulation of tumor necrosis factor production)|GO:0033034(positive regulation of myeloid cell apoptosis)|GO:0034115(negative regulation of heterotypic cell-cell adhesion)|GO:0034383(low-density lipoprotein particle clearance)|GO:0034612(response to tumor necrosis factor)|GO:0042593(glucose homeostasis)|GO:0042803(protein homodimerization activity)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0043124(negative regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0043499(eukaryotic cell surface binding)|GO:0045599(negative regulation of fat cell differentiation)|GO:0045715(negative regulation of low-density lipoprotein receptor biosynthetic process)|GO:0045721(negative regulation of gluconeogenesis)|GO:0045923(positive regulation of fatty acid metabolic process)|GO:0046326(positive regulation of glucose import)|GO:0050728(negative regulation of inflammatory response)|GO:0050765(negative regulation of phagocytosis)|GO:0051260(protein homooligomerization)
7556	7556	7.95804036010747e-104	2.53700556997867e-105	2670.14666783804	CMTM5	CKLF-like MARVEL transmembrane domain containing 5	0.0908666438627451	GO:0005125(cytokine activity)|GO:0005615(extracellular space)|GO:0006935(chemotaxis)|GO:0016020(membrane)|GO:0016021(integral to membrane)
36889	36889	7.16722153210261e-98	3.49271306420219e-99	1990.77174088339	CLCF1	cardiotrophin-like cytokine factor 1	0.113398477705882	GO:0005125(cytokine activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007259(JAK-STAT cascade)|GO:0008083(growth factor activity)|GO:0019221(cytokine-mediated signaling pathway)|GO:0030183(B cell differentiation)|GO:0042517(positive regulation of tyrosine phosphorylation of Stat3 protein)|GO:0043066(negative regulation of apoptosis)
22720	22720	4.13729514717497e-95	2.28931289849762e-96	1739.4708077069	TNF	tumor necrosis factor (TNF superfamily, member 2)	-0.0462815711372549	GO:0000060(protein import into nucleus, translocation)|GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0000187(activation of MAPK activity)|GO:0001775(cell activation)|GO:0001891(phagocytic cup)|GO:0001934(positive regulation of protein amino acid phosphorylation)|GO:0002037(negative regulation of L-glutamate transport)|GO:0002439(chronic inflammatory response to antigenic stimulus)|GO:0002740(negative regulation of cytokine secretion during immune response)|GO:0005125(cytokine activity)|GO:0005164(tumor necrosis factor receptor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006006(glucose metabolic process)|GO:0006916(anti-apoptosis)|GO:0006919(caspase activation)|GO:0006927(transformed cell apoptosis)|GO:0006954(inflammatory response)|GO:0006959(humoral immune response)|GO:0007165(signal transduction)|GO:0007275(multicellular organismal development)|GO:0008285(negative regulation of cell proliferation)|GO:0008625(induction of apoptosis via death domain receptors)|GO:0009612(response to mechanical stimulus)|GO:0009615(response to virus)|GO:0009651(response to salt stress)|GO:0009887(organ morphogenesis)|GO:0009897(external side of plasma membrane)|GO:0016481(negative regulation of transcription)|GO:0019722(calcium-mediated signaling)|GO:0032715(negative regulation of interleukin-6 production)|GO:0032722(positive regulation of chemokine production)|GO:0032800(receptor biosynthetic process)|GO:0033209(tumor necrosis factor-mediated signaling pathway)|GO:0034116(positive regulation of heterotypic cell-cell adhesion)|GO:0042346(positive regulation of NF-kappaB import into nucleus)|GO:0042742(defense response to bacterium)|GO:0042802(identical protein binding)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0043193(positive regulation of gene-specific transcription)|GO:0043525(positive regulation of neuron apoptosis)|GO:0045071(negative regulation of viral genome replication)|GO:0045080(positive regulation of chemokine biosynthetic process)|GO:0045121(membrane raft)|GO:0045429(positive regulation of nitric oxide biosynthetic process)|GO:0045670(regulation of osteoclast differentiation)|GO:0045840(positive regulation of mitosis)|GO:0045941(positive regulation of transcription)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0045994(positive regulation of translational initiation by iron)|GO:0046325(negative regulation of glucose import)|GO:0046330(positive regulation of JNK cascade)|GO:0048661(positive regulation of smooth muscle cell proliferation)|GO:0050715(positive regulation of cytokine secretion)|GO:0050796(regulation of insulin secretion)|GO:0050806(positive regulation of synaptic transmission)|GO:0050901(leukocyte tethering or rolling)|GO:0051023(regulation of immunoglobulin secretion)|GO:0051044(positive regulation of membrane protein ectodomain proteolysis)|GO:0051092(positive regulation of NF-kappaB transcription factor activity)|GO:0051222(positive regulation of protein transport)|GO:0051384(response to glucocorticoid stimulus)|GO:0051798(positive regulation of hair follicle development)|GO:0055037(recycling endosome)
4634	4634	1.24653513690418e-93	7.39561760341863e-95	1618.01630743394	THPO	thrombopoietin	-0.0301716135196078	GO:0005125(cytokine activity)|GO:0005179(hormone activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007275(multicellular organismal development)|GO:0008083(growth factor activity)|GO:0008283(cell proliferation)
19122	19122	4.4967160045108e-93	2.7381844329066e-94	1574.47851634939	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	0.0599496276372549	GO:0005125(cytokine activity)|GO:0005164(tumor necrosis factor receptor binding)|GO:0005615(extracellular space)|GO:0006915(apoptosis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0008283(cell proliferation)|GO:0016020(membrane)|GO:0016021(integral to membrane)
27337	27337	7.61864158429092e-93	4.70539799029781e-94	1556.81149926174	CP110	CP110 protein	0.0705988117058823	GO:0005515(protein binding)|GO:0005813(centrosome)|GO:0032465(regulation of cytokinesis)|GO:0051298(centrosome duplication)
44264	44264	1.27129701467889e-88	9.2321430183422e-90	1266.64611397409	IGF2BP1	insulin-like growth factor 2 mRNA binding protein 1	0.0769363527647059	GO:0000166(nucleotide binding)|GO:0003723(RNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0017148(negative regulation of translation)|GO:0042035(regulation of cytokine biosynthetic process)|GO:0045182(translation regulator activity)|GO:0048027(mRNA 5'-UTR binding)
21215	21215	2.0980745571391e-87	1.59469704438561e-88	1193.41249661684	GPI	glucose phosphate isomerase	-0.0357281155882353	GO:0004347(glucose-6-phosphate isomerase activity)|GO:0005125(cytokine activity)|GO:0005615(extracellular space)|GO:0005737(cytoplasm)|GO:0005975(carbohydrate metabolic process)|GO:0006094(gluconeogenesis)|GO:0006096(glycolysis)|GO:0006959(humoral immune response)|GO:0007599(hemostasis)|GO:0008083(growth factor activity)|GO:0016853(isomerase activity)
628	628	8.07252187528848e-87	6.29000358072773e-88	1159.64607292981	RQCD1	RCD1 required for cell differentiation1 homolog (S. pombe)	0.147809679509804	GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007548(sex differentiation)|GO:0019221(cytokine-mediated signaling pathway)
14349	14349	2.39904356642505e-83	2.13813299092435e-84	978.034384898103	TNFSF18	tumor necrosis factor (ligand) superfamily, member 18	0.146312819137255	GO:0005125(cytokine activity)|GO:0005164(tumor necrosis factor receptor binding)|GO:0005615(extracellular space)|GO:0006916(anti-apoptosis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0016020(membrane)|GO:0016021(integral to membrane)
2643	2643	9.62543454769315e-83	8.78764047048775e-84	949.457096651748	HLA-B	major histocompatibility complex, class I, B	0.270931043598039	GO:0002474(antigen processing and presentation of peptide antigen via MHC class I)|GO:0003674(molecular_function)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005624(membrane fraction)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006952(defense response)|GO:0006955(immune response)|GO:0008150(biological_process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0032393(MHC class I receptor activity)|GO:0042612(MHC class I protein complex)|GO:0044419(interspecies interaction between organisms)
41296	41296	1.61231457567047e-77	1.7688962031548e-78	734.339171437018	IFNG	interferon, gamma	0.307549062852941	GO:0000060(protein import into nucleus, translocation)|GO:0001558(regulation of cell growth)|GO:0001781(neutrophil apoptosis)|GO:0005125(cytokine activity)|GO:0005133(interferon-gamma receptor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006925(inflammatory cell apoptosis)|GO:0006928(cell motion)|GO:0007050(cell cycle arrest)|GO:0007166(cell surface receptor linked signal transduction)|GO:0009615(response to virus)|GO:0019882(antigen processing and presentation)|GO:0030593(neutrophil chemotaxis)|GO:0030968(endoplasmic reticulum unfolded protein response)|GO:0031642(negative regulation of myelination)|GO:0032735(positive regulation of interleukin-12 production)|GO:0034393(positive regulation of smooth muscle cell apoptosis)|GO:0042508(tyrosine phosphorylation of Stat1 protein)|GO:0042742(defense response to bacterium)|GO:0045080(positive regulation of chemokine biosynthetic process)|GO:0045084(positive regulation of interleukin-12 biosynthetic process)|GO:0045348(positive regulation of MHC class II biosynthetic process)|GO:0045410(positive regulation of interleukin-6 biosynthetic process)|GO:0045429(positive regulation of nitric oxide biosynthetic process)|GO:0045449(regulation of transcription)|GO:0045893(positive regulation of transcription, DNA-dependent)|GO:0048304(positive regulation of isotype switching to IgG isotypes)|GO:0048662(negative regulation of smooth muscle cell proliferation)|GO:0050718(positive regulation of interleukin-1 beta secretion)|GO:0050776(regulation of immune response)|GO:0050796(regulation of insulin secretion)|GO:0051044(positive regulation of membrane protein ectodomain proteolysis)|GO:0051712(positive regulation of killing of cells of another organism)
4645	4645	5.65254614991595e-75	6.69742264461897e-76	647.789791888688	LIF	leukemia inhibitory factor (cholinergic differentiation factor)	0.150067880352941	GO:0005125(cytokine activity)|GO:0005146(leukemia inhibitory factor receptor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006955(immune response)|GO:0007275(multicellular organismal development)|GO:0008083(growth factor activity)|GO:0008284(positive regulation of cell proliferation)|GO:0031100(organ regeneration)|GO:0033138(positive regulation of peptidyl-serine phosphorylation)|GO:0042517(positive regulation of tyrosine phosphorylation of Stat3 protein)|GO:0043410(positive regulation of MAPKKK cascade)|GO:0045651(positive regulation of macrophage differentiation)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0046888(negative regulation of hormone secretion)|GO:0048861(leukemia inhibitory factor signaling pathway)|GO:0050731(positive regulation of peptidyl-tyrosine phosphorylation)
17908	17908	1.03796911675825e-74	1.24155965407931e-75	639.384265613499	TNF	tumor necrosis factor (TNF superfamily, member 2)	0.0566729059019608	GO:0000060(protein import into nucleus, translocation)|GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0000187(activation of MAPK activity)|GO:0001775(cell activation)|GO:0001891(phagocytic cup)|GO:0001934(positive regulation of protein amino acid phosphorylation)|GO:0002037(negative regulation of L-glutamate transport)|GO:0002439(chronic inflammatory response to antigenic stimulus)|GO:0002740(negative regulation of cytokine secretion during immune response)|GO:0005125(cytokine activity)|GO:0005164(tumor necrosis factor receptor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006006(glucose metabolic process)|GO:0006916(anti-apoptosis)|GO:0006919(caspase activation)|GO:0006927(transformed cell apoptosis)|GO:0006954(inflammatory response)|GO:0006959(humoral immune response)|GO:0007165(signal transduction)|GO:0007275(multicellular organismal development)|GO:0008285(negative regulation of cell proliferation)|GO:0008625(induction of apoptosis via death domain receptors)|GO:0009612(response to mechanical stimulus)|GO:0009615(response to virus)|GO:0009651(response to salt stress)|GO:0009887(organ morphogenesis)|GO:0009897(external side of plasma membrane)|GO:0016481(negative regulation of transcription)|GO:0019722(calcium-mediated signaling)|GO:0032715(negative regulation of interleukin-6 production)|GO:0032722(positive regulation of chemokine production)|GO:0032800(receptor biosynthetic process)|GO:0033209(tumor necrosis factor-mediated signaling pathway)|GO:0034116(positive regulation of heterotypic cell-cell adhesion)|GO:0042346(positive regulation of NF-kappaB import into nucleus)|GO:0042742(defense response to bacterium)|GO:0042802(identical protein binding)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0043193(positive regulation of gene-specific transcription)|GO:0043525(positive regulation of neuron apoptosis)|GO:0045071(negative regulation of viral genome replication)|GO:0045080(positive regulation of chemokine biosynthetic process)|GO:0045121(membrane raft)|GO:0045429(positive regulation of nitric oxide biosynthetic process)|GO:0045670(regulation of osteoclast differentiation)|GO:0045840(positive regulation of mitosis)|GO:0045941(positive regulation of transcription)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0045994(positive regulation of translational initiation by iron)|GO:0046325(negative regulation of glucose import)|GO:0046330(positive regulation of JNK cascade)|GO:0048661(positive regulation of smooth muscle cell proliferation)|GO:0050715(positive regulation of cytokine secretion)|GO:0050796(regulation of insulin secretion)|GO:0050806(positive regulation of synaptic transmission)|GO:0050901(leukocyte tethering or rolling)|GO:0051023(regulation of immunoglobulin secretion)|GO:0051044(positive regulation of membrane protein ectodomain proteolysis)|GO:0051092(positive regulation of NF-kappaB transcription factor activity)|GO:0051222(positive regulation of protein transport)|GO:0051384(response to glucocorticoid stimulus)|GO:0051798(positive regulation of hair follicle development)|GO:0055037(recycling endosome)
10806	10806	7.61212479728851e-62	1.19484967935201e-62	337.423323640813	IRF9	interferon regulatory factor 9	0.0543457590196078	GO:0003700(transcription factor activity)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006366(transcription from RNA polymerase II promoter)|GO:0007166(cell surface receptor linked signal transduction)|GO:0009615(response to virus)|GO:0042802(identical protein binding)|GO:0045351(type I interferon biosynthetic process)
20498	20498	2.46299744763436e-58	4.0821743659541e-59	282.702635070623	SEPT4	septin 4	0.0937458176568627	GO:0000166(nucleotide binding)|GO:0000910(cytokinesis)|GO:0003924(GTPase activity)|GO:0005198(structural molecule activity)|GO:0005515(protein binding)|GO:0005525(GTP binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005739(mitochondrion)|GO:0007049(cell cycle)|GO:0042981(regulation of apoptosis)
30921	30921	3.5202892188359e-55	6.21065618785243e-56	236.036626037438	CMTM1	CKLF-like MARVEL transmembrane domain containing 1	-0.0878800327281553	GO:0005125(cytokine activity)|GO:0005615(extracellular space)|GO:0006935(chemotaxis)|GO:0016020(membrane)|GO:0016021(integral to membrane)
8217	8217	1.03586551536379e-54	1.83561991951193e-55	235.002027877367	BMP1	bone morphogenetic protein 1	0.00604461094117647	GO:0001502(cartilage condensation)|GO:0001503(ossification)|GO:0004222(metalloendopeptidase activity)|GO:0005125(cytokine activity)|GO:0005509(calcium ion binding)|GO:0005615(extracellular space)|GO:0006508(proteolysis)|GO:0007275(multicellular organismal development)|GO:0008083(growth factor activity)|GO:0008233(peptidase activity)|GO:0008270(zinc ion binding)|GO:0030154(cell differentiation)|GO:0046872(metal ion binding)
