ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
32884	32884	2.60652386760323e-19	1.74954188919468e-21	38.1112833211241	HLA-F	major histocompatibility complex, class I, F	-0.2018096945	GO:0002474(antigen processing and presentation of peptide antigen via MHC class I)|GO:0006955(immune response)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0032393(MHC class I receptor activity)|GO:0042612(MHC class I protein complex)
21975	21975	6.41848546210726e-19	4.65516210284149e-21	36.8448559294067	DUOX1	dual oxidase 1	-0.259104427880952	GO:0004601(peroxidase activity)|GO:0005506(iron ion binding)|GO:0005509(calcium ion binding)|GO:0005886(plasma membrane)|GO:0006979(response to oxidative stress)|GO:0009055(electron carrier activity)|GO:0016021(integral to membrane)|GO:0016174(NAD(P)H oxidase activity)|GO:0016324(apical plasma membrane)|GO:0016491(oxidoreductase activity)|GO:0019221(cytokine-mediated signaling pathway)|GO:0020037(heme binding)|GO:0042335(cuticle development)|GO:0042446(hormone biosynthetic process)|GO:0042554(superoxide release)|GO:0042744(hydrogen peroxide catabolic process)|GO:0050660(FAD binding)|GO:0050661(NADP binding)|GO:0050665(hydrogen peroxide biosynthetic process)|GO:0051591(response to cAMP)|GO:0055114(oxidation reduction)
29471	29471	2.39575855738748e-18	1.93724198054397e-20	35.0539608402955	PPP3CB	protein phosphatase 3 (formerly 2B), catalytic subunit, beta isoform	-0.249811696857143	GO:0001915(negative regulation of T cell mediated cytotoxicity)|GO:0004721(phosphoprotein phosphatase activity)|GO:0004722(protein serine/threonine phosphatase activity)|GO:0005506(iron ion binding)|GO:0005509(calcium ion binding)|GO:0005516(calmodulin binding)|GO:0005955(calcineurin complex)|GO:0006470(protein amino acid dephosphorylation)|GO:0007165(signal transduction)|GO:0007507(heart development)|GO:0008270(zinc ion binding)|GO:0010468(regulation of gene expression)|GO:0016787(hydrolase activity)|GO:0030217(T cell differentiation)|GO:0034097(response to cytokine stimulus)|GO:0043029(T cell homeostasis)
15445	15445	1.10468180495661e-17	1.03508712494526e-19	33.0287090438924	BCL2	B-cell CLL/lymphoma 2	-0.450698517940476	GO:0000082(G1/S transition of mitotic cell cycle)|GO:0000159(protein phosphatase type 2A complex)|GO:0000902(cell morphogenesis)|GO:0001101(response to acid)|GO:0001541(ovarian follicle development)|GO:0001658(ureteric bud branching)|GO:0001662(behavioral fear response)|GO:0001666(response to hypoxia)|GO:0001782(B cell homeostasis)|GO:0001836(release of cytochrome c from mitochondria)|GO:0001952(regulation of cell-matrix adhesion)|GO:0002020(protease binding)|GO:0002320(lymphoid progenitor cell differentiation)|GO:0002326(B cell lineage commitment)|GO:0002360(T cell lineage commitment)|GO:0002520(immune system development)|GO:0003014(renal system process)|GO:0005622(intracellular)|GO:0005624(membrane fraction)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005739(mitochondrion)|GO:0005741(mitochondrial outer membrane)|GO:0005783(endoplasmic reticulum)|GO:0005789(endoplasmic reticulum membrane)|GO:0005792(microsome)|GO:0005829(cytosol)|GO:0005955(calcineurin complex)|GO:0006470(protein amino acid dephosphorylation)|GO:0006582(melanin metabolic process)|GO:0006800(oxygen and reactive oxygen species metabolic process)|GO:0006808(regulation of nitrogen utilization)|GO:0006874(cellular calcium ion homeostasis)|GO:0006916(anti-apoptosis)|GO:0006959(humoral immune response)|GO:0006979(response to oxidative stress)|GO:0007015(actin filament organization)|GO:0007565(female pregnancy)|GO:0007569(cell aging)|GO:0007584(response to nutrient)|GO:0008134(transcription factor binding)|GO:0008219(cell death)|GO:0008284(positive regulation of cell proliferation)|GO:0008584(male gonad development)|GO:0008633(activation of pro-apoptotic gene products)|GO:0009314(response to radiation)|GO:0009408(response to heat)|GO:0009605(response to external stimulus)|GO:0009636(response to toxin)|GO:0009791(post-embryonic development)|GO:0009887(organ morphogenesis)|GO:0010035(response to inorganic substance)|GO:0010039(response to iron ion)|GO:0010224(response to UV-B)|GO:0010332(response to gamma radiation)|GO:0010468(regulation of gene expression)|GO:0010559(regulation of glycoprotein biosynthetic process)|GO:0014031(mesenchymal cell development)|GO:0014042(positive regulation of neuron maturation)|GO:0014911(positive regulation of smooth muscle cell migration)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016337(cell-cell adhesion)|GO:0016563(transcription activator activity)|GO:0018105(peptidyl-serine phosphorylation)|GO:0018107(peptidyl-threonine phosphorylation)|GO:0021747(cochlear nucleus development)|GO:0022612(gland morphogenesis)|GO:0030097(hemopoiesis)|GO:0030279(negative regulation of ossification)|GO:0030308(negative regulation of cell growth)|GO:0030336(negative regulation of cell migration)|GO:0031000(response to caffeine)|GO:0031069(hair follicle morphogenesis)|GO:0031103(axon regeneration)|GO:0031647(regulation of protein stability)|GO:0031965(nuclear membrane)|GO:0032835(glomerulus development)|GO:0032848(negative regulation of cellular pH reduction)|GO:0032880(regulation of protein localization)|GO:0033033(negative regulation of myeloid cell apoptosis)|GO:0033077(T cell differentiation in the thymus)|GO:0033689(negative regulation of osteoblast proliferation)|GO:0034097(response to cytokine stimulus)|GO:0035094(response to nicotine)
28179	28179	2.2003311483411e-17	2.20047982941066e-19	32.1444005367449	IL34	interleukin 34	-0.197174878916667	GO:0001934(positive regulation of protein amino acid phosphorylation)|GO:0005125(cytokine activity)|GO:0005157(macrophage colony stimulating factor receptor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0008284(positive regulation of cell proliferation)
18588	18588	2.65206557856668e-17	2.68808593002907e-19	31.9124814828375	CD1B	CD1b molecule	-0.142501332785714	GO:0005515(protein binding)|GO:0005765(lysosomal membrane)|GO:0005768(endosome)|GO:0005886(plasma membrane)|GO:0006955(immune response)|GO:0010008(endosome membrane)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0042612(MHC class I protein complex)
25574	25574	3.71874062972114e-17	3.86976185537574e-19	31.4932385489589	TNFSF10	tumor necrosis factor (ligand) superfamily, member 10	-0.081390760379716	GO:0005125(cytokine activity)|GO:0005164(tumor necrosis factor receptor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005625(soluble fraction)|GO:0005887(integral to plasma membrane)|GO:0006915(apoptosis)|GO:0006917(induction of apoptosis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0008270(zinc ion binding)|GO:0008633(activation of pro-apoptotic gene products)|GO:0016020(membrane)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0046872(metal ion binding)
23078	23078	5.14287505875435e-17	5.53707295106556e-19	31.0846831316242	VEGFA	vascular endothelial growth factor A	-0.280390284285714	GO:0001525(angiogenesis)|GO:0001570(vasculogenesis)|GO:0001666(response to hypoxia)|GO:0001938(positive regulation of endothelial cell proliferation)|GO:0001968(fibronectin binding)|GO:0001974(blood vessel remodeling)|GO:0002687(positive regulation of leukocyte migration)|GO:0005125(cytokine activity)|GO:0005161(platelet-derived growth factor receptor binding)|GO:0005576(extracellular region)|GO:0005578(proteinaceous extracellular matrix)|GO:0005604(basement membrane)|GO:0005615(extracellular space)|GO:0007275(multicellular organismal development)|GO:0007399(nervous system development)|GO:0008083(growth factor activity)|GO:0008201(heparin binding)|GO:0008360(regulation of cell shape)|GO:0009967(positive regulation of signal transduction)|GO:0009986(cell surface)|GO:0016020(membrane)|GO:0030949(positive regulation of vascular endothelial growth factor receptor signaling pathway)|GO:0031093(platelet alpha granule lumen)|GO:0042088(T-helper 1 type immune response)|GO:0042803(protein homodimerization activity)|GO:0043066(negative regulation of apoptosis)|GO:0043117(positive regulation of vascular permeability)|GO:0043183(vascular endothelial growth factor receptor 1 binding)|GO:0043184(vascular endothelial growth factor receptor 2 binding)|GO:0043498(cell surface binding)|GO:0043536(positive regulation of blood vessel endothelial cell migration)|GO:0045779(negative regulation of bone resorption)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0048008(platelet-derived growth factor receptor signaling pathway)|GO:0048255(mRNA stabilization)|GO:0048286(alveolus development)|GO:0048661(positive regulation of smooth muscle cell proliferation)|GO:0050840(extracellular matrix binding)|GO:0050930(induction of positive chemotaxis)
23845	23845	1.04492339386845e-16	1.20739171803166e-18	30.2081374817226	EBI3	Epstein-Barr virus induced 3	-0.226757680261905	GO:0004896(cytokine receptor activity)|GO:0005125(cytokine activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005886(plasma membrane)|GO:0006959(humoral immune response)|GO:0042088(T-helper 1 type immune response)|GO:0045078(positive regulation of interferon-gamma biosynthetic process)|GO:0045523(interleukin-27 receptor binding)|GO:0046641(positive regulation of alpha-beta T cell proliferation)
10828	10828	9.59182908771063e-16	1.37405754888483e-17	27.5800936929532	IL1B	interleukin 1, beta	-0.26432277497619	GO:0000187(activation of MAPK activity)|GO:0001660(fever)|GO:0001934(positive regulation of protein amino acid phosphorylation)|GO:0002711(positive regulation of T cell mediated immunity)|GO:0005125(cytokine activity)|GO:0005149(interleukin-1 receptor binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006915(apoptosis)|GO:0006916(anti-apoptosis)|GO:0006954(inflammatory response)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007204(elevation of cytosolic calcium ion concentration)|GO:0007267(cell-cell signaling)|GO:0008285(negative regulation of cell proliferation)|GO:0010575(positive regulation vascular endothelial growth factor production)|GO:0014805(smooth muscle adaptation)|GO:0015758(glucose transport)|GO:0019221(cytokine-mediated signaling pathway)|GO:0030593(neutrophil chemotaxis)|GO:0031982(vesicle)|GO:0032496(response to lipopolysaccharide)|GO:0032755(positive regulation of interleukin-6 production)|GO:0033198(response to ATP)|GO:0042102(positive regulation of T cell proliferation)|GO:0042221(response to chemical stimulus)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0043407(negative regulation of MAP kinase activity)|GO:0045080(positive regulation of chemokine biosynthetic process)|GO:0045086(positive regulation of interleukin-2 biosynthetic process)|GO:0045410(positive regulation of interleukin-6 biosynthetic process)|GO:0045429(positive regulation of nitric oxide biosynthetic process)|GO:0045766(positive regulation of angiogenesis)|GO:0045833(negative regulation of lipid metabolic process)|GO:0045840(positive regulation of mitosis)|GO:0046330(positive regulation of JNK cascade)|GO:0046627(negative regulation of insulin receptor signaling pathway)|GO:0046888(negative regulation of hormone secretion)|GO:0050796(regulation of insulin secretion)|GO:0050900(leukocyte migration)|GO:0050996(positive regulation of lipid catabolic process)|GO:0051044(positive regulation of membrane protein ectodomain proteolysis)|GO:0051091(positive regulation of transcription factor activity)
