ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
41988	41988	1.13447471507129e-19	7.18038144322888e-22	39.2908999398687	HLA-B	major histocompatibility complex, class I, B	0.386430743369048	GO:0002474(antigen processing and presentation of peptide antigen via MHC class I)|GO:0003674(molecular_function)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005624(membrane fraction)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0006952(defense response)|GO:0006955(immune response)|GO:0008150(biological_process)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019882(antigen processing and presentation)|GO:0032393(MHC class I receptor activity)|GO:0042612(MHC class I protein complex)|GO:0044419(interspecies interaction between organisms)
53	53	4.50972475959387e-17	4.79444576554341e-19	31.2484656484885	SRF	serum response factor (c-fos serum response element-binding transcription factor)	0.134560231071429	GO:0001829(trophectodermal cell differentiation)|GO:0001947(heart looping)|GO:0002042(cell migration during sprouting angiogenesis)|GO:0003700(transcription factor activity)|GO:0003704(specific RNA polymerase II transcription factor activity)|GO:0005634(nucleus)|GO:0005730(nucleolus)|GO:0005737(cytoplasm)|GO:0005783(endoplasmic reticulum)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0007275(multicellular organismal development)|GO:0007507(heart development)|GO:0008134(transcription factor binding)|GO:0009636(response to toxin)|GO:0009725(response to hormone stimulus)|GO:0010149(senescence)|GO:0010735(positive regulation of transcription via serum response element binding)|GO:0010736(serum response element binding)|GO:0034097(response to cytokine stimulus)|GO:0042803(protein homodimerization activity)|GO:0043565(sequence-specific DNA binding)|GO:0045597(positive regulation of cell differentiation)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0045987(positive regulation of smooth muscle contraction)|GO:0046716(muscle maintenance)|GO:0048666(neuron development)|GO:0051150(regulation of smooth muscle cell differentiation)|GO:0060055(angiogenesis involved in wound healing)|GO:0060261(positive regulation of transcription initiation from RNA polymerase II promoter)
41296	41296	1.24350156312899e-16	1.45925245937834e-18	29.9976577616705	IFNG	interferon, gamma	0.222265855714286	GO:0000060(protein import into nucleus, translocation)|GO:0001558(regulation of cell growth)|GO:0001781(neutrophil apoptosis)|GO:0005125(cytokine activity)|GO:0005133(interferon-gamma receptor binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006925(inflammatory cell apoptosis)|GO:0006928(cell motion)|GO:0007050(cell cycle arrest)|GO:0007166(cell surface receptor linked signal transduction)|GO:0009615(response to virus)|GO:0019882(antigen processing and presentation)|GO:0030593(neutrophil chemotaxis)|GO:0030968(endoplasmic reticulum unfolded protein response)|GO:0031642(negative regulation of myelination)|GO:0032735(positive regulation of interleukin-12 production)|GO:0034393(positive regulation of smooth muscle cell apoptosis)|GO:0042508(tyrosine phosphorylation of Stat1 protein)|GO:0042742(defense response to bacterium)|GO:0045080(positive regulation of chemokine biosynthetic process)|GO:0045084(positive regulation of interleukin-12 biosynthetic process)|GO:0045348(positive regulation of MHC class II biosynthetic process)|GO:0045410(positive regulation of interleukin-6 biosynthetic process)|GO:0045429(positive regulation of nitric oxide biosynthetic process)|GO:0045449(regulation of transcription)|GO:0045893(positive regulation of transcription, DNA-dependent)|GO:0048304(positive regulation of isotype switching to IgG isotypes)|GO:0048662(negative regulation of smooth muscle cell proliferation)|GO:0050718(positive regulation of interleukin-1 beta secretion)|GO:0050776(regulation of immune response)|GO:0050796(regulation of insulin secretion)|GO:0051044(positive regulation of membrane protein ectodomain proteolysis)|GO:0051712(positive regulation of killing of cells of another organism)
31557	31557	2.14639063964114e-16	2.70250775403608e-18	29.3198346843285	BCL10	B-cell CLL/lymphoma 10	0.180475814390823	GO:0001843(neural tube closure)|GO:0002224(toll-like receptor signaling pathway)|GO:0002237(response to molecule of bacterial origin)|GO:0002250(adaptive immune response)|GO:0002906(negative regulation of mature B cell apoptosis)|GO:0003713(transcription coactivator activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005764(lysosome)|GO:0005829(cytosol)|GO:0006968(cellular defense response)|GO:0008022(protein C-terminus binding)|GO:0008219(cell death)|GO:0009620(response to fungus)|GO:0016064(immunoglobulin mediated immune response)|GO:0019209(kinase activator activity)|GO:0031398(positive regulation of protein ubiquitination)|GO:0031625(ubiquitin protein ligase binding)|GO:0032449(CBM complex)|GO:0032765(positive regulation of mast cell cytokine production)|GO:0042101(T cell receptor complex)|GO:0042109(lymphotoxin A biosynthetic process)|GO:0042226(interleukin-6 biosynthetic process)|GO:0042327(positive regulation of phosphorylation)|GO:0042981(regulation of apoptosis)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0043130(ubiquitin binding)|GO:0043422(protein kinase B binding)|GO:0043621(protein self-association)|GO:0045087(innate immune response)|GO:0045121(membrane raft)|GO:0045416(positive regulation of interleukin-8 biosynthetic process)|GO:0045786(negative regulation of cell cycle)|GO:0045893(positive regulation of transcription, DNA-dependent)|GO:0046696(lipopolysaccharide receptor complex)|GO:0048471(perinuclear region of cytoplasm)|GO:0050856(regulation of T cell receptor signaling pathway)|GO:0050870(positive regulation of T cell activation)|GO:0051059(NF-kappaB binding)|GO:0051092(positive regulation of NF-kappaB transcription factor activity)|GO:0051260(protein homooligomerization)
42829	42829	3.0894379161008e-16	4.02210760976252e-18	28.8879460862145	KIT	v-kit Hardy-Zuckerman 4 feline sarcoma viral oncogene homolog	1.01560599888095	GO:0000166(nucleotide binding)|GO:0004716(receptor signaling protein tyrosine kinase activity)|GO:0004872(receptor activity)|GO:0005020(stem cell factor receptor activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005615(extracellular space)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005886(plasma membrane)|GO:0007165(signal transduction)|GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway)|GO:0007243(protein kinase cascade)|GO:0007283(spermatogenesis)|GO:0008284(positive regulation of cell proliferation)|GO:0009314(response to radiation)|GO:0009897(external side of plasma membrane)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016740(transferase activity)|GO:0018108(peptidyl-tyrosine phosphorylation)|GO:0019221(cytokine-mediated signaling pathway)|GO:0030097(hemopoiesis)|GO:0043406(positive regulation of MAP kinase activity)|GO:0048066(pigmentation during development)|GO:0050673(epithelial cell proliferation)
30308	30308	2.18894099665896e-15	3.30828526422542e-17	26.6688030976866	BMP2	bone morphogenetic protein 2	0.3340119785	GO:0001658(ureteric bud branching)|GO:0005125(cytokine activity)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006954(inflammatory response)|GO:0007267(cell-cell signaling)|GO:0008083(growth factor activity)|GO:0008285(negative regulation of cell proliferation)|GO:0009790(embryonic development)|GO:0009887(organ morphogenesis)|GO:0016566(specific transcriptional repressor activity)|GO:0030501(positive regulation of bone mineralization)|GO:0030509(BMP signaling pathway)|GO:0032582(negative regulation of gene-specific transcription)|GO:0035051(cardiac cell differentiation)|GO:0040007(growth)|GO:0042475(odontogenesis of dentine-containing tooth)|GO:0045165(cell fate commitment)|GO:0045669(positive regulation of osteoblast differentiation)|GO:0045786(negative regulation of cell cycle)|GO:0045941(positive regulation of transcription)|GO:0048711(positive regulation of astrocyte differentiation)|GO:0051216(cartilage development)|GO:0060317(cardiac epithelial to mesenchymal transition)
21693	21693	1.06506055398581e-12	2.88113549414816e-14	20.2726041078497	IL13RA1	interleukin 13 receptor, alpha 1	0.313736332166667	GO:0004872(receptor activity)|GO:0004896(cytokine receptor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005886(plasma membrane)|GO:0005898(interleukin-13 receptor complex)|GO:0007166(cell surface receptor linked signal transduction)|GO:0016020(membrane)|GO:0016021(integral to membrane)
44054	44054	2.27579787006887e-12	6.54345667803322e-14	19.5673551464922	IL10	interleukin 10	0.0738010822261905	GO:0002237(response to molecule of bacterial origin)|GO:0002740(negative regulation of cytokine secretion during immune response)|GO:0005125(cytokine activity)|GO:0005141(interleukin-10 receptor binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0006916(anti-apoptosis)|GO:0006954(inflammatory response)|GO:0006955(immune response)|GO:0007253(cytoplasmic sequestering of NF-kappaB)|GO:0007267(cell-cell signaling)|GO:0010468(regulation of gene expression)|GO:0030097(hemopoiesis)|GO:0030183(B cell differentiation)|GO:0030595(leukocyte chemotaxis)|GO:0030886(negative regulation of myeloid dendritic cell activation)|GO:0032695(negative regulation of interleukin-12 production)|GO:0032715(negative regulation of interleukin-6 production)|GO:0032800(receptor biosynthetic process)|GO:0042092(T-helper 2 type immune response)|GO:0042100(B cell proliferation)|GO:0042130(negative regulation of T cell proliferation)|GO:0042742(defense response to bacterium)|GO:0045191(regulation of isotype switching)|GO:0045347(negative regulation of MHC class II biosynthetic process)|GO:0045348(positive regulation of MHC class II biosynthetic process)|GO:0045355(negative regulation of interferon-alpha biosynthetic process)|GO:0050715(positive regulation of cytokine secretion)|GO:0051045(negative regulation of membrane protein ectodomain proteolysis)|GO:0051384(response to glucocorticoid stimulus)
1073	1073	2.71150205960577e-12	7.95794126555018e-14	19.4011750870427	IL31RA	interleukin 31 receptor A	0.106103049845238	GO:0000165(MAPKKK cascade)|GO:0003713(transcription coactivator activity)|GO:0004872(receptor activity)|GO:0004896(cytokine receptor activity)|GO:0005886(plasma membrane)|GO:0006916(anti-apoptosis)|GO:0006952(defense response)|GO:0006955(immune response)|GO:0007169(transmembrane receptor protein tyrosine kinase signaling pathway)|GO:0007259(JAK-STAT cascade)|GO:0008284(positive regulation of cell proliferation)|GO:0016021(integral to membrane)|GO:0019221(cytokine-mediated signaling pathway)|GO:0019901(protein kinase binding)|GO:0030224(monocyte differentiation)|GO:0030225(macrophage differentiation)|GO:0042517(positive regulation of tyrosine phosphorylation of Stat3 protein)|GO:0042523(positive regulation of tyrosine phosphorylation of Stat5 protein)|GO:0042592(homeostatic process)|GO:0043031(negative regulation of macrophage activation)|GO:0045893(positive regulation of transcription, DNA-dependent)
4951	4951	3.36371382753596e-12	1.00993998065307e-13	19.1998910402717	IGF2BP2	insulin-like growth factor 2 mRNA binding protein 2	0.0974082011547619	GO:0000166(nucleotide binding)|GO:0003723(RNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0008150(biological_process)|GO:0009653(anatomical structure morphogenesis)|GO:0017148(negative regulation of translation)|GO:0042035(regulation of cytokine biosynthetic process)|GO:0044430(cytoskeletal part)|GO:0045182(translation regulator activity)|GO:0048027(mRNA 5'-UTR binding)
