ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
1667	1667	9.69771098142396e-46	8.73726691571409e-50	252.850411135191	GLTPD1	glycolipid transfer protein domain containing 1	0.592342532214286	GO:0005737(cytoplasm)|GO:0017089(glycolipid transporter activity)|GO:0046836(glycolipid transport)|GO:0051861(glycolipid binding)
40979	40979	1.96220622025409e-42	2.65180920366794e-46	204.305164195126	ZDHHC17	zinc finger, DHHC-type containing 17	0.502645967238095	GO:0000139(Golgi membrane)|GO:0004871(signal transducer activity)|GO:0005515(protein binding)|GO:0005794(Golgi apparatus)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016740(transferase activity)|GO:0018345(protein palmitoylation)|GO:0019706(protein-cysteine S-palmitoleyltransferase activity)|GO:0030659(cytoplasmic vesicle membrane)|GO:0031410(cytoplasmic vesicle)|GO:0042953(lipoprotein transport)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0046872(metal ion binding)
27360	27360	1.21576199849904e-34	1.31442610824952e-37	118.216197999639	TMUB1	transmembrane and ubiquitin-like domain containing 1	0.504919559047619	GO:0006464(protein modification process)|GO:0016020(membrane)|GO:0016021(integral to membrane)
6858	6858	5.0468723583709e-34	5.79747483561763e-37	113.391285060323	C1orf107	chromosome 1 open reading frame 107	0.488846009607143	GO:0005634(nucleus)|GO:0007275(multicellular organismal development)
35678	35678	1.03669752835485e-33	1.21423230115666e-36	111.053771927359	KIAA0664	KIAA0664	0.467522767404762	GO:0003743(translation initiation factor activity)|GO:0005488(binding)|GO:0006412(translation)
11810	11810	1.67749740920943e-33	2.00255338622204e-36	109.49619709102			0.555344935892857	
23554	23554	3.15846496319782e-33	3.98391868682744e-36	107.386382800662			0.484826431416667	
13249	13249	4.78763542752479e-33	6.14670404236576e-36	106.07479554528	PPIAL4A	peptidylprolyl isomerase A (cyclophilin A)-like 4A	0.404037311392857	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)|GO:0005737(cytoplasm)|GO:0006457(protein folding)|GO:0016853(isomerase activity)
5977	5977	5.98244368190829e-33	7.95018080574338e-36	105.30334901576	IL1RL1	interleukin 1 receptor-like 1	0.403730191214286	GO:0002114(interleukin-33 receptor activity)|GO:0004908(interleukin-1 receptor activity)|GO:0005057(receptor signaling protein activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005737(cytoplasm)|GO:0005813(centrosome)|GO:0005886(plasma membrane)|GO:0005925(focal adhesion)|GO:0007165(signal transduction)|GO:0009986(cell surface)|GO:0016021(integral to membrane)|GO:0043124(negative regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0045087(innate immune response)
13876	13876	2.26563703202689e-32	3.16394116687315e-35	101.24565318801	H1FOO	H1 histone family, member O, oocyte-specific	0.406146952714286	GO:0000786(nucleosome)|GO:0003677(DNA binding)|GO:0005634(nucleus)|GO:0005694(chromosome)|GO:0005737(cytoplasm)|GO:0006334(nucleosome assembly)|GO:0007126(meiosis)
