ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
40949	40949	1.10717169849412e-31	9.44560054218216e-36	423.738078157955			-2.59380405370833	
2953	2953	1.10717169849412e-31	1.65625499363805e-35	413.265793974988	CSNK2A1	casein kinase 2, alpha 1 polypeptide	-2.5601980521875	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0005886(plasma membrane)|GO:0006468(protein amino acid phosphorylation)|GO:0007165(signal transduction)|GO:0008013(beta-catenin binding)|GO:0016055(Wnt receptor signaling pathway)|GO:0016740(transferase activity)|GO:0019888(protein phosphatase regulator activity)|GO:0047485(protein N-terminus binding)
37586	37586	1.10717169849412e-31	1.67554675102294e-35	413.052516933007			-2.5951396083125	
43530	43530	1.10717169849412e-31	2.25247707448418e-35	407.639249121619	AKAP8L	A kinase (PRKA) anchor protein 8-like	-2.56312430572917	GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005694(chromosome)|GO:0005737(cytoplasm)|GO:0008150(biological_process)|GO:0008270(zinc ion binding)|GO:0016363(nuclear matrix)|GO:0017151(DEAD/H-box RNA helicase binding)|GO:0046872(metal ion binding)
34749	34749	1.10717169849412e-31	2.2713436206773e-35	407.487654792366			-2.64183006325	
40800	40800	1.10717169849412e-31	2.3266484765726e-35	407.050731988207	C11orf2	chromosome 11 open reading frame2	-2.5743433064375	GO:0003674(molecular_function)|GO:0008150(biological_process)|GO:0016021(integral to membrane)
6171	6171	1.10717169849412e-31	2.82827795530386e-35	403.521627316712	BRSK2	BR serine/threonine kinase 2	-2.57683240910417	GO:0000166(nucleotide binding)|GO:0000287(magnesium ion binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0005524(ATP binding)|GO:0006468(protein amino acid phosphorylation)|GO:0016301(kinase activity)|GO:0016740(transferase activity)|GO:0030010(establishment of cell polarity)|GO:0030182(neuron differentiation)
34560	34560	1.10717169849412e-31	3.23655458568547e-35	401.101627297391			-2.65515470902083	
37640	37640	1.10717169849412e-31	3.3266112357809e-35	400.610804111638			-2.62016620247917	
40324	40324	1.10717169849412e-31	3.41250315884719e-35	400.155427697867	C21orf119	chromosome 21 open reading frame 119	-2.61733037760417	
10386	10386	1.10717169849412e-31	3.68490403929846e-35	398.7865715779	NEDD4	neural precursor cell expressed, developmentally down-regulated 4	-2.62214556125	GO:0000151(ubiquitin ligase complex)|GO:0000785(chromatin)|GO:0004842(ubiquitin-protein ligase activity)|GO:0005622(intracellular)|GO:0005624(membrane fraction)|GO:0005737(cytoplasm)|GO:0005829(cytosol)|GO:0005886(plasma membrane)|GO:0005938(cell cortex)|GO:0006464(protein modification process)|GO:0006622(protein targeting to lysosome)|GO:0009405(pathogenesis)|GO:0010766(negative regulation of sodium ion transport)|GO:0010768(negative regulation of transcription from RNA polymerase II promoter in response to UV-induced DNA damage)|GO:0014068(positive regulation of phosphoinositide 3-kinase cascade)|GO:0016327(apicolateral plasma membrane)|GO:0016874(ligase activity)|GO:0016881(acid-amino acid ligase activity)|GO:0019089(transmission of virus)|GO:0019871(sodium channel inhibitor activity)|GO:0019904(protein domain specific binding)|GO:0031175(neurite development)|GO:0031623(receptor internalization)|GO:0031698(beta-2 adrenergic receptor binding)|GO:0032801(receptor catabolic process)|GO:0034644(cellular response to UV)|GO:0042787(protein ubiquitination during ubiquitin-dependent protein catabolic process)|GO:0042921(glucocorticoid receptor signaling pathway)|GO:0043130(ubiquitin binding)|GO:0045732(positive regulation of protein catabolic process)|GO:0046824(positive regulation of nucleocytoplasmic transport)|GO:0048471(perinuclear region of cytoplasm)|GO:0050815(phosphoserine binding)|GO:0050816(phosphothreonine binding)|GO:0050847(progesterone receptor signaling pathway)|GO:0051592(response to calcium ion)|GO:0052171(growth or development during symbiotic interaction)|GO:0070063(RNA polymerase binding)|GO:0070064(proline-rich region binding)
30798	30798	1.10717169849412e-31	4.13862552702143e-35	396.725487569452	C3orf58	chromosome 3 open reading frame 58	-2.63102419004167	GO:0005576(extracellular region)
4540	4540	1.10717169849412e-31	4.28936902831319e-35	396.092561299446	ZBTB20	zinc finger and BTB domain containing 20	-2.57858405316667	GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
28806	28806	1.10717169849412e-31	4.68768416381421e-35	394.525812815141	LOC348751	hypothetical protein LOC348751	-2.65548292989583	GO:0005542(folic acid binding)|GO:0008152(metabolic process)|GO:0016740(transferase activity)
25454	25454	1.10717169849412e-31	4.94573565060318e-35	393.583247451375	CDK9	cyclin-dependent kinase 9	-2.65261281947917	GO:0000166(nucleotide binding)|GO:0003677(DNA binding)|GO:0004693(cyclin-dependent protein kinase activity)|GO:0005515(protein binding)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005730(nucleolus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006367(transcription initiation from RNA polymerase II promoter)|GO:0006368(RNA elongation from RNA polymerase II promoter)|GO:0006468(protein amino acid phosphorylation)|GO:0008023(transcription elongation factor complex)|GO:0008283(cell proliferation)|GO:0008353(RNA polymerase subunit kinase activity)|GO:0016740(transferase activity)|GO:0017069(snRNA binding)
14961	14961	1.10717169849412e-31	5.06099411357844e-35	393.178708071441	ADAT1	adenosine deaminase, tRNA-specific 1	-2.619102199625	GO:0003723(RNA binding)|GO:0006396(RNA processing)|GO:0008033(tRNA processing)|GO:0008251(tRNA-specific adenosine deaminase activity)|GO:0008270(zinc ion binding)|GO:0016787(hydrolase activity)|GO:0046872(metal ion binding)
14923	14923	1.10717169849412e-31	5.21710725982313e-35	392.645841421725	ZNF195	zinc finger protein 195	-2.65301133760417	GO:0003676(nucleic acid binding)|GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0046872(metal ion binding)
20942	20942	1.10717169849412e-31	5.26788019854392e-35	392.47611498552	GSTT2	glutathione S-transferase theta 2	-2.65804748072917	GO:0004364(glutathione transferase activity)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0016740(transferase activity)
12578	12578	1.10717169849412e-31	5.29068660439123e-35	392.40043125296	LOC341965	hypothetical LOC341965	-2.65639911772917	
4835	4835	1.10717169849412e-31	5.39694420778351e-35	392.052242101781			-2.5935053886875	
8719	8719	1.10717169849412e-31	5.693814932041e-35	391.116100285721	SEMA3A	sema domain, immunoglobulin domain (Ig), short basic domain, secreted, (semaphorin) 3A	-2.61267363470833	GO:0004872(receptor activity)|GO:0005576(extracellular region)|GO:0007275(multicellular organismal development)|GO:0007399(nervous system development)|GO:0016020(membrane)|GO:0030154(cell differentiation)
27542	27542	1.10717169849412e-31	5.74616309054975e-35	390.956320715777	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	-2.65791027275	GO:0016020(membrane)|GO:0016021(integral to membrane)
21626	21626	1.10717169849412e-31	6.16046405411642e-35	389.742921095563	GC	group-specific component (vitamin D binding protein)	-2.66464751427083	GO:0003779(actin binding)|GO:0005499(vitamin D binding)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005737(cytoplasm)|GO:0005813(centrosome)|GO:0006810(transport)|GO:0042359(vitamin D metabolic process)|GO:0051180(vitamin transport)|GO:0051183(vitamin transporter activity)
9077	9077	1.10717169849412e-31	6.52976728753791e-35	388.731026867718			-2.6276348345	
27769	27769	1.10717169849412e-31	6.67838905451653e-35	388.34054746943	C2orf60	chromosome 2 open reading frame 60	-2.62818869070833	
1634	1634	1.10717169849412e-31	6.73954195759679e-35	388.182503948979	ATG4D	ATG4 autophagy related 4 homolog D (S. cerevisiae)	-2.57335302141667	GO:0000045(autophagic vacuole formation)|GO:0004197(cysteine-type endopeptidase activity)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005829(cytosol)|GO:0005875(microtubule associated complex)|GO:0006508(proteolysis)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0006612(protein targeting to membrane)|GO:0006623(protein targeting to vacuole)|GO:0006914(autophagy)|GO:0008017(microtubule binding)|GO:0008233(peptidase activity)|GO:0015031(protein transport)
30306	30306	1.10717169849412e-31	6.78857311426058e-35	388.056864793534	POLD4	polymerase (DNA-directed), delta 4	-2.61397958114583	GO:0001938(positive regulation of endothelial cell proliferation)|GO:0003887(DNA-directed DNA polymerase activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0006260(DNA replication)|GO:0006297(nucleotide-excision repair, DNA gap filling)|GO:0016740(transferase activity)|GO:0016779(nucleotidyltransferase activity)
16087	16087	1.10717169849412e-31	7.18479733615112e-35	387.075019750483			-2.62605079695833	
20306	20306	1.10717169849412e-31	7.23201550923025e-35	386.961797208923	HK2	hexokinase 2	-2.64081954766667	GO:0000166(nucleotide binding)|GO:0004396(hexokinase activity)|GO:0005524(ATP binding)|GO:0005739(mitochondrion)|GO:0005741(mitochondrial outer membrane)|GO:0005829(cytosol)|GO:0006006(glucose metabolic process)|GO:0006096(glycolysis)|GO:0007595(lactation)|GO:0016020(membrane)|GO:0016301(kinase activity)|GO:0016740(transferase activity)|GO:0046835(carbohydrate phosphorylation)
24364	24364	1.18239288452848e-31	7.98968095498671e-35	385.24362548885			-2.64461491616667	
19991	19991	1.2003318662125e-31	8.38126176376498e-35	384.421124732695			-2.65717976245833	
30178	30178	2.85184027840963e-25	2.11975424437502e-28	197.302940338392	PTCHD1	patched domain containing 1	-2.61102116466667	GO:0008158(hedgehog receptor activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)
34255	34255	1.55662741535737e-23	1.22715407657067e-26	163.552927903862	TGM2	transglutaminase 2 (C polypeptide, protein-glutamine-gamma-glutamyltransferase)	-2.933888378	GO:0001974(blood vessel remodeling)|GO:0003810(protein-glutamine gamma-glutamyltransferase activity)|GO:0005509(calcium ion binding)|GO:0005525(GTP binding)|GO:0005739(mitochondrion)|GO:0005886(plasma membrane)|GO:0006917(induction of apoptosis)|GO:0008415(acyltransferase activity)|GO:0016740(transferase activity)|GO:0018149(peptide cross-linking)|GO:0018153(isopeptide cross-linking via N6-(L-isoglutamyl)-L-lysine)|GO:0019904(protein domain specific binding)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0045785(positive regulation of cell adhesion)|GO:0048661(positive regulation of smooth muscle cell proliferation)|GO:0050729(positive regulation of inflammatory response)|GO:0051260(protein homooligomerization)|GO:0051482(elevation of cytosolic calcium ion concentration during G-protein signaling, coupled to IP3 second messenger (phospholipase C activating))
44534	44534	1.13472329418809e-22	9.71225199431209e-26	148.501965357221			-0.446114976854167	
22165	22165	1.7485616704638e-21	1.57538722928468e-24	130.247864828834			-0.497353845604167	
3347	3347	1.83891855865367e-21	1.69821521510013e-24	129.785831985129	SEC62	SEC62 homolog (S. cerevisiae)	-0.699439170895833	GO:0004872(receptor activity)|GO:0005783(endoplasmic reticulum)|GO:0005789(endoplasmic reticulum membrane)|GO:0006613(cotranslational protein targeting to membrane)|GO:0008565(protein transporter activity)|GO:0015031(protein transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0065002(intracellular protein transmembrane transport)
4673	4673	1.86003384696451e-21	1.75961036945085e-24	129.567792970399	DEFB1	defensin, beta 1	-0.670170884895833	GO:0005576(extracellular region)|GO:0006935(chemotaxis)|GO:0007186(G-protein coupled receptor protein signaling pathway)|GO:0042742(defense response to bacterium)|GO:0045087(innate immune response)
3975	3975	7.66214241109864e-21	7.42104474800643e-24	121.008038708108	GTF2IRD2	GTF2I repeat domain containing 2	-0.5004646608125	GO:0003677(DNA binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)
13889	13889	9.95293419178176e-21	9.86393460004949e-24	119.377845719314	C1orf194	chromosome 1 open reading frame 194	-1.059480834	
19192	19192	7.36288514685782e-20	7.62872979605513e-23	108.231976571519	NCAPG2	non-SMC condensin II complex, subunit G2	-0.5982929886875	GO:0001833(inner cell mass cell proliferation)|GO:0005488(binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0007049(cell cycle)|GO:0007067(mitosis)|GO:0007076(mitotic chromosome condensation)|GO:0051301(cell division)
15643	15643	3.92163078489108e-19	4.32821831339197e-22	99.5182513196519	UCHL5	ubiquitin carboxyl-terminal hydrolase L5	-0.430037689083333	GO:0004221(ubiquitin thiolesterase activity)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005829(cytosol)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0008233(peptidase activity)|GO:0008234(cysteine-type peptidase activity)|GO:0016787(hydrolase activity)|GO:0043234(protein complex)
23688	23688	4.35465185787003e-19	4.90421859345229e-22	98.915960479625			-0.564780332520833	
11042	11042	1.43850096424004e-18	1.68484469987797e-21	93.1382806856728	SLC35E3	solute carrier family 35, member E3	-0.984018756395833	GO:0016020(membrane)|GO:0016021(integral to membrane)
530	530	2.60234539916614e-18	3.16522854145487e-21	90.3033915440944	RP4-621O15.2	hypothetical protein FLJ31401	-1.18864943572917	
10262	10262	7.10180577625863e-18	8.79787638115694e-21	85.8685903137991			-0.329655535708333	
3439	3439	7.40298363997725e-18	9.33772741038192e-21	85.6162426924459	LAD1	ladinin 1	-0.38671290475	GO:0005198(structural molecule activity)|GO:0005576(extracellular region)|GO:0005604(basement membrane)
29428	29428	1.62329052930479e-17	2.12065794309701e-20	82.2058956337382	GABARAPL3	GABA(A) receptors associated protein like 3 (pseudogene)	-0.172997570645833	GO:0005874(microtubule)
15756	15756	1.76978979129169e-17	2.35190660824402e-20	81.7841123833644			-0.945608986125	
8948	8948	1.96286652701218e-17	2.69691326323272e-20	81.2291858977291	PLA2G2D	phospholipase A2, group IID	-0.620158874520833	GO:0004623(phospholipase A2 activity)|GO:0005509(calcium ion binding)|GO:0005576(extracellular region)|GO:0006644(phospholipid metabolic process)|GO:0006954(inflammatory response)|GO:0016042(lipid catabolic process)|GO:0016787(hydrolase activity)
41641	41641	7.59718094938682e-17	1.1636108398277e-19	75.50272831222			-0.556066682604167	
5747	5747	1.03603386828866e-16	1.70350411931148e-19	74.0683734346545			-0.402283914666667	
30186	30186	1.142697040952e-16	1.92750824361137e-19	73.6085262880367	MGC2848	hypothetical protein MGC2848	-0.287305996041667	
24257	24257	1.56823486273251e-16	2.790516344705e-19	72.2459203694573	KIAA1310	KIAA1310	-0.2708452325625	
28144	28144	2.27390211922815e-16	4.09739778674803e-19	70.8541798093175	TMEM55B	transmembrane protein 55B	-0.157028782645833	GO:0005765(lysosomal membrane)|GO:0005768(endosome)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016787(hydrolase activity)|GO:0031902(late endosome membrane)
15580	15580	3.16503394218479e-16	5.91701730300104e-19	69.5442213471505	GPR32	G protein-coupled receptor 32	-0.349480557854167	GO:0004872(receptor activity)|GO:0004930(G-protein coupled receptor activity)|GO:0004982(N-formyl peptide receptor activity)|GO:0005886(plasma membrane)|GO:0005887(integral to plasma membrane)|GO:0007165(signal transduction)|GO:0007186(G-protein coupled receptor protein signaling pathway)
16510	16510	3.23536006801886e-16	6.12136508578471e-19	69.4242380192014	PURG	purine-rich element binding protein G	-0.271758207416667	GO:0003677(DNA binding)|GO:0005634(nucleus)
19052	19052	4.06750120222564e-16	7.87902568622666e-19	68.5377325551115			-0.134532846666667	
32187	32187	5.37660394958905e-16	1.06570522234348e-18	67.4896783799912	BRCA1	breast cancer 1, early onset	-0.287916311854167	GO:0000075(cell cycle checkpoint)|GO:0000151(ubiquitin ligase complex)|GO:0000724(double-strand break repair via homologous recombination)|GO:0000793(condensed chromosome)|GO:0003674(molecular_function)|GO:0003677(DNA binding)|GO:0003684(damaged DNA binding)|GO:0003713(transcription coactivator activity)|GO:0004842(ubiquitin-protein ligase activity)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005737(cytoplasm)|GO:0006260(DNA replication)|GO:0006281(DNA repair)|GO:0006301(postreplication repair)|GO:0006357(regulation of transcription from RNA polymerase II promoter)|GO:0006359(regulation of transcription from RNA polymerase III promoter)|GO:0006974(response to DNA damage stimulus)|GO:0006978(DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator)|GO:0007059(chromosome segregation)|GO:0007098(centrosome cycle)|GO:0008270(zinc ion binding)|GO:0008274(gamma-tubulin ring complex)|GO:0008630(DNA damage response, signal transduction resulting in induction of apoptosis)|GO:0009048(dosage compensation, by inactivation of X chromosome)|GO:0015631(tubulin binding)|GO:0016481(negative regulation of transcription)|GO:0019899(enzyme binding)|GO:0030521(androgen receptor signaling pathway)|GO:0031398(positive regulation of protein ubiquitination)|GO:0031436(BRCA1-BARD1 complex)|GO:0042127(regulation of cell proliferation)|GO:0042802(identical protein binding)|GO:0042981(regulation of apoptosis)|GO:0043009(chordate embryonic development)|GO:0043627(response to estrogen stimulus)|GO:0045717(negative regulation of fatty acid biosynthetic process)|GO:0045739(positive regulation of DNA repair)|GO:0045786(negative regulation of cell cycle)|GO:0045893(positive regulation of transcription, DNA-dependent)|GO:0046600(negative regulation of centriole replication)|GO:0046872(metal ion binding)|GO:0050681(androgen receptor binding)
30145	30145	5.44704247488069e-16	1.09193589716508e-18	67.4058937377486	B3GALT5	UDP-Gal:betaGlcNAc beta 1,3-galactosyltransferase, polypeptide 5	-0.280761553291667	GO:0000139(Golgi membrane)|GO:0005783(endoplasmic reticulum)|GO:0005794(Golgi apparatus)|GO:0006486(protein amino acid glycosylation)|GO:0008378(galactosyltransferase activity)|GO:0008499(UDP-galactose:beta-N-acetylglucosamine beta-1,3-galactosyltransferase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016757(transferase activity, transferring glycosyl groups)
11389	11389	5.57431677428374e-16	1.13117526716519e-18	67.2843986644128	LRRC46	leucine rich repeat containing 46	-0.279721987354167	GO:0005515(protein binding)
20279	20279	5.97706322580327e-16	1.23857426576999e-18	66.9731090588486	NF1	neurofibromin 1	-0.731245475833333	GO:0001649(osteoblast differentiation)|GO:0001656(metanephros development)|GO:0001666(response to hypoxia)|GO:0001889(liver development)|GO:0001937(negative regulation of endothelial cell proliferation)|GO:0001952(regulation of cell-matrix adhesion)|GO:0003674(molecular_function)|GO:0005096(GTPase activator activity)|GO:0005099(Ras GTPase activator activity)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0007165(signal transduction)|GO:0007265(Ras protein signal transduction)|GO:0007406(negative regulation of neuroblast proliferation)|GO:0007420(brain development)|GO:0007422(peripheral nervous system development)|GO:0007507(heart development)|GO:0008150(biological_process)|GO:0008542(visual learning)|GO:0014065(phosphoinositide 3-kinase cascade)|GO:0021510(spinal cord development)|GO:0021897(forebrain astrocyte development)|GO:0021987(cerebral cortex development)|GO:0022011(myelination in the peripheral nervous system)|GO:0030036(actin cytoskeleton organization)|GO:0030199(collagen fibril organization)|GO:0030325(adrenal gland development)|GO:0030336(negative regulation of cell migration)|GO:0030424(axon)|GO:0030425(dendrite)|GO:0032320(positive regulation of Ras GTPase activity)|GO:0042060(wound healing)|GO:0042992(negative regulation of transcription factor import into nucleus)|GO:0043407(negative regulation of MAP kinase activity)|GO:0043409(negative regulation of MAPKKK cascade)|GO:0043473(pigmentation)|GO:0043525(positive regulation of neuron apoptosis)|GO:0043535(regulation of blood vessel endothelial cell migration)|GO:0045124(regulation of bone resorption)|GO:0045685(regulation of glial cell differentiation)|GO:0045762(positive regulation of adenylate cyclase activity)|GO:0045765(regulation of angiogenesis)|GO:0045786(negative regulation of cell cycle)|GO:0048485(sympathetic nervous system development)|GO:0048593(camera-type eye morphogenesis)|GO:0048715(negative regulation of oligodendrocyte differentiation)|GO:0048745(smooth muscle development)|GO:0048844(artery morphogenesis)|GO:0048853(forebrain morphogenesis)|GO:0050890(cognition)|GO:0051056(regulation of small GTPase mediated signal transduction)
43099	43099	7.51283962568597e-16	1.60758556758377e-18	66.0849284496694	FAM13B1	family with sequence similarity 13, member B1	-0.365388746583333	GO:0005096(GTPase activator activity)|GO:0005622(intracellular)|GO:0007165(signal transduction)
