ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
21693	21693	3.9168771697436e-15	1.08515415879105e-17	59.8775060686577	IL13RA1	interleukin 13 receptor, alpha 1	0.323294143770833	GO:0004872(receptor activity)|GO:0004896(cytokine receptor activity)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005886(plasma membrane)|GO:0005898(interleukin-13 receptor complex)|GO:0007166(cell surface receptor linked signal transduction)|GO:0016020(membrane)|GO:0016021(integral to membrane)
19122	19122	1.23549277525861e-14	5.1456709945307e-17	55.1838173953925	TNFSF9	tumor necrosis factor (ligand) superfamily, member 9	-0.00155190197916667	GO:0005125(cytokine activity)|GO:0005164(tumor necrosis factor receptor binding)|GO:0005615(extracellular space)|GO:0006915(apoptosis)|GO:0006955(immune response)|GO:0007165(signal transduction)|GO:0007267(cell-cell signaling)|GO:0008283(cell proliferation)|GO:0016020(membrane)|GO:0016021(integral to membrane)
10756	10756	3.41573605923276e-14	1.5771919096847e-16	51.9962269259292	BMP7	bone morphogenetic protein 7	0.307564854770833	GO:0001503(ossification)|GO:0001707(mesoderm formation)|GO:0001822(kidney development)|GO:0001837(epithelial to mesenchymal transition)|GO:0005125(cytokine activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007411(axon guidance)|GO:0007435(salivary gland morphogenesis)|GO:0008083(growth factor activity)|GO:0008201(heparin binding)|GO:0008285(negative regulation of cell proliferation)|GO:0009880(embryonic pattern specification)|GO:0009887(organ morphogenesis)|GO:0030501(positive regulation of bone mineralization)|GO:0030509(BMP signaling pathway)|GO:0030855(epithelial cell differentiation)|GO:0040007(growth)|GO:0042325(regulation of phosphorylation)|GO:0042475(odontogenesis of dentine-containing tooth)|GO:0043065(positive regulation of apoptosis)|GO:0045669(positive regulation of osteoblast differentiation)|GO:0045786(negative regulation of cell cycle)|GO:0045941(positive regulation of transcription)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0048468(cell development)|GO:0048596(embryonic camera-type eye morphogenesis)|GO:0048646(anatomical structure formation)|GO:0048754(branching morphogenesis of a tube)|GO:0050768(negative regulation of neurogenesis)|GO:0051216(cartilage development)
37093	37093	8.11776524404876e-14	4.09572587036719e-16	49.3995564296692	TAPBP	TAP binding protein (tapasin)	0.209726745166667	GO:0000139(Golgi membrane)|GO:0005783(endoplasmic reticulum)|GO:0005789(endoplasmic reticulum membrane)|GO:0005792(microsome)|GO:0006461(protein complex assembly)|GO:0006890(retrograde vesicle-mediated transport, Golgi to ER)|GO:0006955(immune response)|GO:0015433(peptide antigen-transporting ATPase activity)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0019885(antigen processing and presentation of endogenous peptide antigen via MHC class I)|GO:0042288(MHC class I protein binding)|GO:0042605(peptide antigen binding)|GO:0042824(MHC class I peptide loading complex)|GO:0046978(TAP1 binding)|GO:0046979(TAP2 binding)|GO:0050823(peptide antigen stabilization)|GO:0051082(unfolded protein binding)
26457	26457	2.19533644944702e-11	2.77311236362101e-13	34.258583137816	FCGRT	Fc fragment of IgG, receptor, transporter, alpha	0.293089386729167	GO:0004872(receptor activity)|GO:0005886(plasma membrane)|GO:0006955(immune response)|GO:0007565(female pregnancy)|GO:0016021(integral to membrane)|GO:0019864(IgG binding)|GO:0019882(antigen processing and presentation)|GO:0042612(MHC class I protein complex)
43218	43218	2.35711658160798e-11	3.01030497955206e-13	34.0937783207294	THBS1	thrombospondin 1	0.187799475979167	GO:0000187(activation of MAPK activity)|GO:0001666(response to hypoxia)|GO:0001937(negative regulation of endothelial cell proliferation)|GO:0001968(fibronectin binding)|GO:0002040(sprouting angiogenesis)|GO:0002544(chronic inflammatory response)|GO:0002581(negative regulation of antigen processing and presentation of peptide or polysaccharide antigen via MHC class II)|GO:0002605(negative regulation of dendritic cell antigen processing and presentation)|GO:0005178(integrin binding)|GO:0005198(structural molecule activity)|GO:0005509(calcium ion binding)|GO:0005576(extracellular region)|GO:0005577(fibrinogen complex)|GO:0006916(anti-apoptosis)|GO:0006955(immune response)|GO:0007050(cell cycle arrest)|GO:0007155(cell adhesion)|GO:0008201(heparin binding)|GO:0008632(apoptotic program)|GO:0009749(response to glucose stimulus)|GO:0009897(external side of plasma membrane)|GO:0010670(positive regulation of oxygen and reactive oxygen species metabolic process)|GO:0010748(negative regulation of plasma membrane long-chain fatty acid transport)|GO:0010751(negative regulation of nitric oxide mediated signal transduction)|GO:0010754(negative regulation of cGMP-mediated signaling)|GO:0010757(negative regulation of plasminogen activation)|GO:0010759(positive regulation of macrophage chemotaxis)|GO:0010763(positive regulation of fibroblast cell migration)|GO:0016525(negative regulation of angiogenesis)|GO:0018149(peptide cross-linking)|GO:0030169(low-density lipoprotein binding)|GO:0030194(positive regulation of blood coagulation)|GO:0030511(positive regulation of transforming growth factor beta receptor signaling pathway)|GO:0031012(extracellular matrix)|GO:0031093(platelet alpha granule lumen)|GO:0032026(response to magnesium ion)|GO:0032570(response to progesterone stimulus)|GO:0032695(negative regulation of interleukin-12 production)|GO:0032914(positive regulation of transforming growth factor-beta1 production)|GO:0034605(cellular response to heat)|GO:0040037(negative regulation of fibroblast growth factor receptor signaling pathway)|GO:0042327(positive regulation of phosphorylation)|GO:0042802(identical protein binding)|GO:0043032(positive regulation of macrophage activation)|GO:0043236(laminin binding)|GO:0043394(proteoglycan binding)|GO:0043499(eukaryotic cell surface binding)|GO:0043536(positive regulation of blood vessel endothelial cell migration)|GO:0043537(negative regulation of blood vessel endothelial cell migration)|GO:0043652(engulfment of apoptotic cell)|GO:0045727(positive regulation of translation)|GO:0045766(positive regulation of angiogenesis)|GO:0048603(fibroblast growth factor 2 binding)|GO:0050431(transforming growth factor beta binding)|GO:0050921(positive regulation of chemotaxis)|GO:0051592(response to calcium ion)|GO:0051895(negative regulation of focal adhesion formation)|GO:0051918(negative regulation of fibrinolysis)|GO:0070051(fibrinogen binding)|GO:0070052(collagen V binding)
23788	23788	4.32713748757793e-11	5.91610346410749e-13	32.758978914564	ROCK1	Rho-associated, coiled-coil containing protein kinase 1	0.1704610825	GO:0000139(Golgi membrane)|GO:0000166(nucleotide binding)|GO:0000910(cytokinesis)|GO:0004674(protein serine/threonine kinase activity)|GO:0005524(ATP binding)|GO:0005622(intracellular)|GO:0005737(cytoplasm)|GO:0005794(Golgi apparatus)|GO:0005829(cytosol)|GO:0006468(protein amino acid phosphorylation)|GO:0006915(apoptosis)|GO:0007242(intracellular signaling cascade)|GO:0007266(Rho protein signal transduction)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016740(transferase activity)|GO:0019992(diacylglycerol binding)|GO:0022614(membrane to membrane docking)|GO:0030036(actin cytoskeleton organization)|GO:0032060(bleb formation)|GO:0042802(identical protein binding)|GO:0043524(negative regulation of neuron apoptosis)|GO:0046872(metal ion binding)|GO:0050900(leukocyte migration)|GO:0050901(leukocyte tethering or rolling)
18164	18164	0.000000000158269510756486	2.56671926558334e-12	29.9901368543839	CCL2	chemokine (C-C motif) ligand 2	0.0288581900416667	GO:0001664(G-protein-coupled receptor binding)|GO:0001938(positive regulation of endothelial cell proliferation)|GO:0002548(monocyte chemotaxis)|GO:0004672(protein kinase activity)|GO:0004871(signal transducer activity)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0005737(cytoplasm)|GO:0006468(protein amino acid phosphorylation)|GO:0006874(cellular calcium ion homeostasis)|GO:0006916(anti-apoptosis)|GO:0006935(chemotaxis)|GO:0006954(inflammatory response)|GO:0006959(humoral immune response)|GO:0007155(cell adhesion)|GO:0007179(transforming growth factor beta receptor signaling pathway)|GO:0007187(G-protein signaling, coupled to cyclic nucleotide second messenger)|GO:0007259(JAK-STAT cascade)|GO:0008009(chemokine activity)|GO:0009617(response to bacterium)|GO:0009887(organ morphogenesis)|GO:0019079(viral genome replication)|GO:0019221(cytokine-mediated signaling pathway)|GO:0031727(CCR2 chemokine receptor binding)|GO:0043025(cell soma)|GO:0048010(vascular endothelial growth factor receptor signaling pathway)|GO:0048246(macrophage chemotaxis)
40836	40836	0.000000000176904887455069	2.93036466826599e-12	29.7486536448421	STAT3	signal transducer and activator of transcription 3 (acute-phase response factor)	1.35611611535417	GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0003700(transcription factor activity)|GO:0004871(signal transducer activity)|GO:0005062(hematopoietin/interferon-class (D200-domain) cytokine receptor signal transducer activity)|GO:0005509(calcium ion binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005730(nucleolus)|GO:0005737(cytoplasm)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006928(cell motion)|GO:0007165(signal transduction)|GO:0007259(JAK-STAT cascade)|GO:0007399(nervous system development)|GO:0008134(transcription factor binding)|GO:0032355(response to estradiol stimulus)|GO:0032870(cellular response to hormone stimulus)|GO:0044419(interspecies interaction between organisms)|GO:0070102(interleukin-6-mediated signaling pathway)
26376	26376	0.000000000241754522597802	4.25769702458917e-12	29.0751202087726	SP100	SP100 nuclear antigen	1.38343474860417	GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0003677(DNA binding)|GO:0003713(transcription coactivator activity)|GO:0003714(transcription corepressor activity)|GO:0005634(nucleus)|GO:0005694(chromosome)|GO:0006978(DNA damage response, signal transduction by p53 class mediator resulting in transcription of p21 class mediator)|GO:0016605(PML body)|GO:0019900(kinase binding)|GO:0019904(protein domain specific binding)|GO:0034340(response to type I interferon)|GO:0034341(response to interferon-gamma)|GO:0042803(protein homodimerization activity)|GO:0043433(negative regulation of transcription factor activity)|GO:0045893(positive regulation of transcription, DNA-dependent)|GO:0051271(negative regulation of cell motion)|GO:0060333(interferon-gamma-mediated signaling pathway)|GO:0060337(type I interferon-mediated signaling pathway)
