ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
19452	19452	7.09197376900471e-30	5.11167782976667e-33	319.758509831911			0.04606322275	
1667	1667	1.85719341153302e-24	1.42227123436544e-27	180.734069887899	GLTPD1	glycolipid transfer protein domain containing 1	0.654995150041667	GO:0005737(cytoplasm)|GO:0017089(glycolipid transporter activity)|GO:0046836(glycolipid transport)|GO:0051861(glycolipid binding)
37808	37808	1.98369326251893e-23	1.60850862559816e-26	161.50658926249	FGF1	fibroblast growth factor 1 (acidic)	0.0517281417770833	GO:0001525(angiogenesis)|GO:0001759(induction of an organ)|GO:0005515(protein binding)|GO:0005576(extracellular region)|GO:0005578(proteinaceous extracellular matrix)|GO:0005615(extracellular space)|GO:0007165(signal transduction)|GO:0007275(multicellular organismal development)|GO:0008083(growth factor activity)|GO:0008201(heparin binding)|GO:0008283(cell proliferation)|GO:0008543(fibroblast growth factor receptor signaling pathway)|GO:0009653(anatomical structure morphogenesis)|GO:0030154(cell differentiation)|GO:0030324(lung development)|GO:0050679(positive regulation of epithelial cell proliferation)
40979	40979	2.39524780940556e-23	1.99617471784143e-26	159.890886052949	ZDHHC17	zinc finger, DHHC-type containing 17	0.398505398125	GO:0000139(Golgi membrane)|GO:0004871(signal transducer activity)|GO:0005515(protein binding)|GO:0005794(Golgi apparatus)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016740(transferase activity)|GO:0018345(protein palmitoylation)|GO:0019706(protein-cysteine S-palmitoleyltransferase activity)|GO:0030659(cytoplasmic vesicle membrane)|GO:0031410(cytoplasmic vesicle)|GO:0042953(lipoprotein transport)|GO:0043123(positive regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0046872(metal ion binding)
24574	24574	2.89279192716351e-22	2.54113758045312e-25	141.950367980241	TRIM33	tripartite motif-containing 33	0.0818929154166667	GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006511(ubiquitin-dependent protein catabolic process)|GO:0008270(zinc ion binding)|GO:0016481(negative regulation of transcription)|GO:0016874(ligase activity)|GO:0046872(metal ion binding)
3046	3046	3.69892324825225e-20	3.74916201931101e-23	111.991276772144			0.0422074494583333	
22780	22780	9.59007961563305e-20	1.01523468237663e-22	106.751953478005			0.0562783899375	
16354	16354	1.04476257403964e-19	1.12954937391947e-22	106.204055864503	UTY	ubiquitously transcribed tetratricopeptide repeat gene, Y-linked	0.0806060810208333	GO:0003674(molecular_function)|GO:0005488(binding)|GO:0005506(iron ion binding)|GO:0005575(cellular_component)|GO:0005634(nucleus)|GO:0008150(biological_process)|GO:0016491(oxidoreductase activity)|GO:0016568(chromatin modification)|GO:0016702(oxidoreductase activity, acting on single donors with incorporation of molecular oxygen, incorporation of two atoms of oxygen)|GO:0046872(metal ion binding)|GO:0055114(oxidation reduction)
42923	42923	8.55132318626277e-19	9.82312954702798e-22	95.6260851574376	ACTR8	ARP8 actin-related protein 8 homolog (yeast)	0.0669705620208333	GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005856(cytoskeleton)
27360	27360	2.60234539916614e-18	3.14138920218221e-21	90.3369248131413	TMUB1	transmembrane and ubiquitin-like domain containing 1	0.3753851275	GO:0006464(protein modification process)|GO:0016020(membrane)|GO:0016021(integral to membrane)
25533	25533	1.33763414858941e-17	1.71734906569354e-20	83.0714090043706	TNRC6B	trinucleotide repeat containing 6B	0.411768929125	GO:0000166(nucleotide binding)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0005794(Golgi apparatus)|GO:0005813(centrosome)
1681	1681	1.9427142885131e-17	2.62546697548901e-20	81.3377748638986	DKC1	dyskeratosis congenita 1, dyskerin	0.2598108355625	GO:0001522(pseudouridine synthesis)|GO:0003720(telomerase activity)|GO:0003723(RNA binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005697(telomerase holoenzyme complex)|GO:0005730(nucleolus)|GO:0006364(rRNA processing)|GO:0006396(RNA processing)|GO:0007004(telomere maintenance via telomerase)|GO:0008283(cell proliferation)|GO:0009982(pseudouridine synthase activity)|GO:0016853(isomerase activity)
28852	28852	3.28708466875182e-17	4.59038334713185e-20	79.1039420625619	CHAT	choline acetyltransferase	0.407991447208333	GO:0004102(choline O-acetyltransferase activity)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0007274(neuromuscular synaptic transmission)|GO:0007517(muscle development)|GO:0007529(establishment of synaptic specificity at neuromuscular junction)|GO:0007622(rhythmic behavior)|GO:0007628(adult walking behavior)|GO:0008415(acyltransferase activity)|GO:0016358(dendrite development)|GO:0016740(transferase activity)|GO:0030182(neuron differentiation)|GO:0042136(neurotransmitter biosynthetic process)|GO:0043025(cell soma)|GO:0043179(rhythmic excitation)
10909	10909	3.55835792552101e-17	5.04936255395237e-20	78.7282793691943	ELOVL7	ELOVL family member 7, elongation of long chain fatty acids (yeast)	0.38561613	GO:0005783(endoplasmic reticulum)|GO:0005789(endoplasmic reticulum membrane)|GO:0006633(fatty acid biosynthetic process)|GO:0016020(membrane)|GO:0016021(integral to membrane)
15949	15949	4.29356663645912e-17	6.18934308023929e-20	77.930997228941	EWSR1	Ewing sarcoma breakpoint region 1	0.00811945129166667	GO:0000166(nucleotide binding)|GO:0003676(nucleic acid binding)|GO:0003700(transcription factor activity)|GO:0003723(RNA binding)|GO:0005516(calmodulin binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0008270(zinc ion binding)|GO:0009986(cell surface)|GO:0043565(sequence-specific DNA binding)|GO:0046872(metal ion binding)
35678	35678	4.45688077491829e-17	6.52515373493004e-20	77.7252090817492	KIAA0664	KIAA0664	0.3629301309375	GO:0003743(translation initiation factor activity)|GO:0005488(binding)|GO:0006412(translation)
19753	19753	4.76272691796054e-17	7.08020759477882e-20	77.4081598517892	CAPN14	calpain 14	0.397934009145833	
3301	3301	6.17997928959721e-17	9.32627457717893e-20	76.3463436964559	SLC25A40	solute carrier family 25, member 40	0.359666395729167	GO:0005488(binding)|GO:0005739(mitochondrion)|GO:0005743(mitochondrial inner membrane)|GO:0006810(transport)|GO:0016020(membrane)|GO:0016021(integral to membrane)
16000	16000	7.65710141864877e-17	1.19003535798988e-19	75.4175694834885	IGHD	immunoglobulin heavy constant delta	0.359211041375	GO:0003823(antigen binding)|GO:0005576(extracellular region)|GO:0005886(plasma membrane)|GO:0006955(immune response)|GO:0016021(integral to membrane)
24129	24129	8.70626659874847e-17	1.37270234906051e-19	74.8779514423091	LOC728344	similar to hCG1978918	0.262681326	
42511	42511	8.88069583268681e-17	1.42020723049027e-19	74.7498793257587	CCND1	cyclin D1	0.00587297483333334	GO:0000082(G1/S transition of mitotic cell cycle)|GO:0000307(cyclin-dependent protein kinase holoenzyme complex)|GO:0000320(re-entry into mitotic cell cycle)|GO:0001934(positive regulation of protein amino acid phosphorylation)|GO:0004672(protein kinase activity)|GO:0005515(protein binding)|GO:0005575(cellular_component)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0005829(cytosol)|GO:0010039(response to iron ion)|GO:0016538(cyclin-dependent protein kinase regulator activity)|GO:0019901(protein kinase binding)|GO:0030968(endoplasmic reticulum unfolded protein response)|GO:0045444(fat cell differentiation)|GO:0045737(positive regulation of cyclin-dependent protein kinase activity)|GO:0051301(cell division)|GO:0051592(response to calcium ion)|GO:0051726(regulation of cell cycle)|GO:0070141(response to UV-A)
16254	16254	9.97442002187732e-17	1.61758281319721e-19	74.2617471923379	CCPG1	cell cycle progression 1	0.240893858166667	GO:0007049(cell cycle)|GO:0016020(membrane)|GO:0016021(integral to membrane)
17014	17014	1.142697040952e-16	1.93036191795391e-19	73.603034484127			0.407988325458333	
19179	19179	1.20497796971311e-16	2.06271427569873e-19	73.3572216803637	ECE2	endothelin converting enzyme 2	0.0292628637708333	GO:0000139(Golgi membrane)|GO:0004222(metalloendopeptidase activity)|GO:0005794(Golgi apparatus)|GO:0006508(proteolysis)|GO:0007267(cell-cell signaling)|GO:0007420(brain development)|GO:0007507(heart development)|GO:0008152(metabolic process)|GO:0008168(methyltransferase activity)|GO:0008233(peptidase activity)|GO:0008270(zinc ion binding)|GO:0010002(cardioblast differentiation)|GO:0016020(membrane)|GO:0016021(integral to membrane)|GO:0016486(peptide hormone processing)|GO:0016740(transferase activity)|GO:0030659(cytoplasmic vesicle membrane)|GO:0046872(metal ion binding)
