symbol
ENSG00000120217.13	CD274
ENSG00000133101.9	CCNA1
ENSG00000146592.16	CREB5
ENSG00000174130.12	TLR6
ENSG00000059804.15	SLC2A3
ENSG00000169245.5	CXCL10
ENSG00000132915.10	PDE6A
ENSG00000078098.13	FAP
ENSG00000124557.12	BTN1A1
ENSG00000163131.10	CTSS
ENSG00000152766.5	ANKRD22
ENSG00000121236.19	TRIM6
ENSG00000111801.15	BTN3A3
ENSG00000163141.18	BNIPL
ENSG00000096006.11	CRISP3
ENSG00000165949.12	IFI27
ENSG00000137965.10	IFI44
ENSG00000185745.9	IFIT1
ENSG00000186470.13	BTN3A2
ENSG00000161031.12	PGLYRP2
ENSG00000174827.13	PDZK1
ENSG00000070190.12	DAPP1
ENSG00000143839.13	REN
ENSG00000119917.13	IFIT3
ENSG00000134871.17	COL4A2
ENSG00000126709.14	IFI6
ENSG00000106823.12	ECM2
ENSG00000164342.12	TLR3
ENSG00000026950.16	BTN3A1
ENSG00000117228.9	GBP1
ENSG00000128284.19	APOL3
ENSG00000137959.15	IFI44L
ENSG00000107562.16	CXCL12
ENSG00000271503.5	CCL5
ENSG00000105246.5	EBI3
ENSG00000137628.16	DDX60
ENSG00000240065.7	PSMB9
ENSG00000146859.6	TMEM140
ENSG00000138185.17	ENTPD1
ENSG00000138646.8	HERC5
ENSG00000111335.12	OAS2
ENSG00000115596.3	WNT6
ENSG00000177409.11	SAMD9L
ENSG00000164308.16	ERAP2
ENSG00000164211.12	STARD4
ENSG00000171992.12	SYNPO
ENSG00000124107.5	SLPI
ENSG00000121380.12	BCL2L14
ENSG00000132530.16	XAF1
ENSG00000113083.12	LOX
ENSG00000150782.11	IL18
ENSG00000119922.8	IFIT2
ENSG00000229474.6	PATL2
ENSG00000086730.16	LAT2
ENSG00000135114.12	OASL
ENSG00000003400.14	CASP10
ENSG00000005844.17	ITGAL
ENSG00000078401.6	EDN1
ENSG00000163644.14	PPM1K
ENSG00000103316.10	CRYM
ENSG00000196954.12	CASP4
ENSG00000133106.14	EPSTI1
ENSG00000102962.4	CCL22
ENSG00000142677.3	IL22RA1
ENSG00000109072.13	VTN
ENSG00000130303.12	BST2
ENSG00000108679.12	LGALS3BP
ENSG00000159403.11	C1R
ENSG00000132965.9	ALOX5AP
ENSG00000140853.15	NLRC5
ENSG00000068079.7	IFI35
ENSG00000021300.13	PLEKHB1
ENSG00000144290.16	SLC4A10
ENSG00000119699.7	TGFB3
ENSG00000136883.12	KIF12
ENSG00000100031.18	GGT1
ENSG00000073910.19	FRY
ENSG00000089127.12	OAS1
ENSG00000173221.13	GLRX
ENSG00000138642.14	HERC6
ENSG00000232810.3	TNF
ENSG00000135899.16	SP110
ENSG00000272031.2	ANKRD34A
ENSG00000183486.12	MX2
ENSG00000105499.13	PLA2G4C
ENSG00000117226.11	GBP3
ENSG00000156587.15	UBE2L6
ENSG00000135604.9	STX11
ENSG00000084636.17	COL16A1
ENSG00000167779.7	IGFBP6
ENSG00000162645.12	GBP2
ENSG00000183696.13	UPP1
ENSG00000019582.14	CD74
ENSG00000136960.12	ENPP2
ENSG00000111331.12	OAS3
ENSG00000115267.5	IFIH1
ENSG00000205413.7	SAMD9
ENSG00000167780.11	SOAT2
ENSG00000185697.16	MYBL1
ENSG00000137841.11	PLCB2
ENSG00000005187.11	ACSM3
ENSG00000010030.13	ETV7
ENSG00000023445.13	BIRC3
ENSG00000095303.14	PTGS1
ENSG00000117407.16	ARTN
ENSG00000092421.16	SEMA6A
ENSG00000138496.16	PARP9
ENSG00000108771.12	DHX58
ENSG00000101000.5	PROCR
ENSG00000170542.5	SERPINB9
ENSG00000170476.15	MZB1
ENSG00000168016.13	TRANK1
ENSG00000197653.14	DNAH10
ENSG00000137198.9	GMPR
ENSG00000133321.10	RARRES3
ENSG00000006210.6	CX3CL1
ENSG00000231925.11	TAPBP
ENSG00000179542.15	SLITRK4
ENSG00000175183.9	CSRP2
ENSG00000122735.15	DNAI1
ENSG00000237004.3	ZNRF2P1
ENSG00000169403.11	PTAFR
ENSG00000198959.11	TGM2
ENSG00000140564.10	FURIN
ENSG00000121101.15	TEX14
ENSG00000135046.13	ANXA1
ENSG00000107201.9	DDX58
ENSG00000110002.15	VWA5A
ENSG00000064300.8	NGFR
ENSG00000184988.8	TMEM106A
ENSG00000204516.9	MICB
ENSG00000118503.14	TNFAIP3
ENSG00000181381.13	DDX60L
