genes	logFC	logCPM	F	PValue	FDR
ENSG00000120217.13	ENSG00000120217.13	7.23453145631184	-0.711358712508917	48.8893278190059	2.72219620325345e-12	1.52009452431305e-10
ENSG00000133101.9	ENSG00000133101.9	6.79378063285525	-1.06579644774246	33.9162800180086	5.76805735391946e-09	2.06445105578739e-07
ENSG00000146592.16	ENSG00000146592.16	6.16428616025133	-1.53472424819159	19.221973946576	1.16464439458586e-05	0.000238497025971762
ENSG00000174130.12	ENSG00000174130.12	6.06433222403569	1.64273240540964	213.680231294079	2.37909407228902e-48	1.728655485682e-45
ENSG00000059804.15	ENSG00000059804.15	5.79311480331445	0.879849288871865	136.628153566157	1.51236525650566e-31	4.53769770593749e-29
ENSG00000169245.5	ENSG00000169245.5	5.59057172488782	-1.91275174330578	11.0176145918674	0.000902768619934165	0.0117387171045687
ENSG00000132915.10	ENSG00000132915.10	5.59057172488782	-1.91275174330578	11.0176145918674	0.000902768619934165	0.0117387171045687
ENSG00000078098.13	ENSG00000078098.13	5.46680741463297	-1.98690722895535	9.74022424837591	0.00180321437091374	0.0213734772564988
ENSG00000124557.12	ENSG00000124557.12	5.33542605989675	-2.06435418428514	8.56766409706131	0.00342249763285597	0.0367855974411473
ENSG00000163131.10	ENSG00000163131.10	5.13379953234066	0.773703217056261	119.16530700664	9.92805736465164e-28	2.22580402805729e-25
ENSG00000152766.5	ENSG00000152766.5	4.75937610481191	-0.0481986911362285	67.2162767422611	2.45653287554831e-16	2.11338922480125e-14
ENSG00000121236.19	ENSG00000121236.19	4.54544374766079	3.18917758778513	345.781900662836	4.50556607126114e-77	8.49130245705053e-74
ENSG00000111801.15	ENSG00000111801.15	4.43953737123222	0.79370535668319	107.87035882252	2.94078129652254e-25	5.47384686514448e-23
ENSG00000163141.18	ENSG00000163141.18	4.35659047100556	3.88219880286713	425.721553778253	2.02128419167177e-94	8.12664046875607e-91
ENSG00000096006.11	ENSG00000096006.11	4.15073428341255	0.772661504216163	100.353516276929	1.30226653499591e-23	2.11121210194981e-21
ENSG00000165949.12	ENSG00000165949.12	4.09310138447244	6.07854764482158	665.146334567231	2.83872275613482e-146	1.71197691976979e-141
ENSG00000137965.10	ENSG00000137965.10	4.02674971245066	1.46267445893045	144.441500094491	2.97227413061853e-33	9.51027743954338e-31
ENSG00000185745.9	ENSG00000185745.9	3.95278071361833	5.68161403658754	596.187266922492	2.36088335137687e-131	4.74600510516122e-127
ENSG00000186470.13	ENSG00000186470.13	3.94314099667552	2.06935936766068	186.936390120789	1.59528420409758e-42	8.36594780701884e-40
ENSG00000161031.12	ENSG00000161031.12	3.93488046665055	0.776325539902696	95.6624746548679	1.38900723931028e-22	2.04312801434937e-20
ENSG00000174827.13	ENSG00000174827.13	3.93223331749513	5.55116215190146	576.666465691192	3.96846696646318e-127	4.78660611626924e-123
ENSG00000070190.12	ENSG00000070190.12	3.87674807344185	1.05337513774316	111.700009115616	4.26760729375925e-26	8.38341565706947e-24
ENSG00000143839.13	ENSG00000143839.13	3.84302422714739	-0.807199556402621	29.792252137175	4.8185416043836e-08	1.50101553242338e-06
ENSG00000119917.13	ENSG00000119917.13	3.70304256988446	4.02759244084931	368.997880224021	4.10549603700857e-82	1.07649676086919e-78
ENSG00000134871.17	ENSG00000134871.17	3.61397787451152	0.504129928897381	74.7970366572218	5.27924151353656e-18	5.31520028711791e-16
ENSG00000126709.14	ENSG00000126709.14	3.60125224673624	7.37904456465561	624.85615622786	1.47551068309863e-137	4.44925491381561e-133
ENSG00000106823.12	ENSG00000106823.12	3.56687395964389	-1.64809491017092	10.7223874216936	0.00105876820974394	0.0134567319690701
ENSG00000164342.12	ENSG00000164342.12	3.55111122097481	-0.590373631971326	33.5181780029151	7.07753338983647e-09	2.50782540349153e-07
ENSG00000026950.16	ENSG00000026950.16	3.5247264326721	1.34274813750982	117.772155832673	2.00260858413146e-27	4.44019553278676e-25
ENSG00000117228.9	ENSG00000117228.9	3.52225571676623	0.585513951747147	76.6145845001632	2.10408254913474e-18	2.16172079000371e-16
ENSG00000128284.19	ENSG00000128284.19	3.43409586652801	1.52666218531212	125.215546004287	4.71875174370115e-29	1.15682309007776e-26
ENSG00000137959.15	ENSG00000137959.15	3.39746453287477	0.637100242815866	75.5431285741795	3.61876643993363e-18	3.66790867999189e-16
ENSG00000107562.16	ENSG00000107562.16	3.39592413068706	7.1611794580102	559.273402798496	2.31405009762906e-123	1.99365333268305e-119
ENSG00000271503.5	ENSG00000271503.5	3.34666056028205	3.25895774886663	252.468121062581	8.59264590637796e-57	9.59639424670078e-54
ENSG00000105246.5	ENSG00000105246.5	3.33798068563806	0.25447176062877	58.8782000597031	1.68990530781667e-14	1.21182888589545e-12
ENSG00000137628.16	ENSG00000137628.16	3.31048384285361	5.50048314507463	447.464988427925	3.89404245287672e-99	1.67744223034349e-95
ENSG00000240065.7	ENSG00000240065.7	3.29606463461724	0.031882820155724	49.98585988861	1.55693732755087e-12	8.97665165869386e-11
ENSG00000146859.6	ENSG00000146859.6	3.28828421055025	0.542967092127846	68.9526056614094	1.01885681660606e-16	9.17092789490716e-15
ENSG00000138185.17	ENSG00000138185.17	3.22038402110384	3.1794886919659	230.914421917049	4.20993313402261e-52	3.90604072994824e-49
ENSG00000138646.8	ENSG00000138646.8	3.21393293779979	2.91410269686219	210.091638714252	1.43858489394068e-47	9.85888383906526e-45
ENSG00000111335.12	ENSG00000111335.12	3.17213441138688	6.05494531248301	454.678860260353	1.06247813238428e-100	4.92891778521776e-97
ENSG00000115596.3	ENSG00000115596.3	3.16850535102223	0.289901548407092	56.3949293348881	5.96888547605698e-14	4.04462410438252e-12
ENSG00000177409.11	ENSG00000177409.11	3.12921461215852	-1.32750758425417	13.7651092254974	0.00020724084852045	0.00319812719871322
ENSG00000164308.16	ENSG00000164308.16	3.11366101940279	0.391852823062787	58.9956664558361	1.59201926067222e-14	1.14846288962465e-12
ENSG00000164211.12	ENSG00000164211.12	3.11132739260267	4.94642982126952	365.51301594886	2.34336731710311e-81	5.88849150666059e-78
ENSG00000171992.12	ENSG00000171992.12	3.0025574995237	4.95821076679669	348.719795730618	1.03705902827559e-77	2.15665365093945e-74
ENSG00000124107.5	ENSG00000124107.5	2.98196042870957	0.136348309643792	47.4238136124631	5.74620696844342e-12	3.05589165360007e-10
ENSG00000121380.12	ENSG00000121380.12	2.96916307409987	-1.42654596569566	11.4256347322937	0.000724606218524435	0.00972817127996389
ENSG00000132530.16	ENSG00000132530.16	2.9605188557164	1.93988339838713	124.254318529452	7.65570565268503e-29	1.85421805824148e-26
ENSG00000113083.12	ENSG00000113083.12	2.95912998265265	-1.02629327370426	17.7731122978801	2.4905658921872e-05	0.000476526166960742
ENSG00000150782.11	ENSG00000150782.11	2.94222494956636	2.66415808418903	170.282421415209	6.82126915574469e-39	2.95954748377447e-36
ENSG00000119922.8	ENSG00000119922.8	2.91937316155489	3.842521837106	252.30086815183	9.34355335017304e-57	1.02452911898588e-53
ENSG00000229474.6	ENSG00000229474.6	2.89272798072213	0.222432443036741	47.9967539883944	4.29052777537655e-12	2.3206560455373e-10
ENSG00000086730.16	ENSG00000086730.16	2.8897155153426	3.38617157873946	214.929162546799	1.27185889234088e-48	9.3540568389383e-46
