"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-3C-AAAU-01A"	0	0.586337421700752	0	0	0	0
"TCGA-3C-AALI-01A"	0	0.838920852056613	0	0	0	0
"TCGA-3C-AALJ-01A"	0	0	0	0	0	0.824010262574475
"TCGA-3C-AALK-01A"	0.851049640747849	0	0	0	0	0
"TCGA-4H-AAAK-01A"	0	0	0	0	0.830959664439244	0
"TCGA-5L-AAT0-01A"	0.936306984374794	0	0	0	0	0
"TCGA-5L-AAT1-01A"	0	0	0	0	1.38761920103309	0
"TCGA-5T-A9QA-01A"	0	0	0	0	0.430467006982756	0
"TCGA-A1-A0SB-01A"	0	0	0.842320058354296	0	0	0
"TCGA-A1-A0SD-01A"	0	0	0.832956299533208	0	0	0
"TCGA-A1-A0SE-01A"	0	0	0.714484689288555	0	0	0
"TCGA-A1-A0SF-01A"	0	0	0.950584556099883	0	0	0
"TCGA-A1-A0SG-01A"	0.767978411050879	0	0	0	0	0
"TCGA-A1-A0SH-01A"	0	0	0	0	1.11040695600468	0
"TCGA-A1-A0SI-01A"	1.16160472482643	0	0	0	0	0
"TCGA-A1-A0SJ-01A"	0	0	0	0	0.839945020466482	0
"TCGA-A1-A0SK-01A"	0	0	0	0.462596339436375	0	0
"TCGA-A1-A0SM-01A"	0	0	0	0	1.027903437554	0
"TCGA-A1-A0SN-01A"	0.959072122164945	0	0	0	0	0
"TCGA-A1-A0SO-01A"	0	0.663091185207706	0	0	0	0
"TCGA-A1-A0SP-01A"	0	0	0	1.05992842045632	0	0
"TCGA-A1-A0SQ-01A"	0.830263600509394	0	0	0	0	0
"TCGA-A2-A04N-01A"	0	0	0	0	0.821266833060694	0
"TCGA-A2-A04P-01A"	0	0	0	1.11324232017951	0	0
"TCGA-A2-A04Q-01A"	2.2694856636021	0	0	0	0	0
"TCGA-A2-A04R-01A"	0	0	0.458971842453759	0	0	0
"TCGA-A2-A04T-01A"	0	1.016025863598	0	0	0	0
"TCGA-A2-A04U-01A"	0	0	0	0.630638815417499	0	0
"TCGA-A2-A04V-01A"	0	0	0	0	0.702129292442887	0
"TCGA-A2-A04W-01A"	0	0	1.10698027838786	0	0	0
"TCGA-A2-A04X-01A"	0	0	0	0	1.05438602022191	0
"TCGA-A2-A04Y-01A"	0	0	0	0	0	1.11297368263429
