"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-3L-AA1B-01A"	0	0.704208237121936	0	0	0	0
"TCGA-4N-A93T-01A"	0	0.531416417418	0	0	0	0
"TCGA-4T-AA8H-01A"	0	0.451652203883699	0	0	0	0
"TCGA-5M-AAT4-01A"	0	0	0	0.413160083260423	0	0
"TCGA-5M-AAT5-01A"	0	0	0.656056616563075	0	0	0
"TCGA-5M-AAT6-01A"	0	0	0	1.57570985451086	0	0
"TCGA-5M-AATA-01A"	0	0	0	0.735151056844893	0	0
"TCGA-5M-AATE-01A"	0	0	0.535121424294838	0	0	0
"TCGA-A6-2671-11A"	0	1.19833776401013	0	0	0	0
"TCGA-A6-2675-11A"	0	0	0	0	1.05932782110518	0
"TCGA-A6-2675-01A"	0	0	0	0	1.28615332696938	0
"TCGA-A6-2678-11A"	0	0	0	0	1.20550255051611	0
"TCGA-A6-2679-11A"	0	0	0	0	0	1.51085460333497
"TCGA-A6-2680-11A"	0	0	0	0	1.086137307224	0
"TCGA-A6-2682-11A"	1.18294852108777	0	0	0	0	0
"TCGA-A6-2682-01A"	0	0	0	1.19734346744447	0	0
"TCGA-A6-2683-11A"	0	0	0	0	1.06393746383438	0
"TCGA-A6-2684-11A"	0	0	0	0	0	1.1051599789285
"TCGA-A6-2684-01A"	0	0	0	0	0	1.10273721412809
"TCGA-A6-2685-11A"	0	0	1.12578512276862	0	0	0
"TCGA-A6-2685-01A"	0	0	0	0	1.37721766523595	0
"TCGA-A6-2686-11A"	0	0	0	0	1.12303810161021	0
"TCGA-A6-2686-01A"	0	0	0	1.23509140109979	0	0
"TCGA-A6-4105-01A"	0	0	0	1.09865559322537	0	0
"TCGA-A6-5656-01A"	0	0	0.554061994618076	0	0	0
"TCGA-A6-5657-01A"	0	1.10223368571273	0	0	0	0
"TCGA-A6-5659-11A"	0	0	0	1.14097554252134	0	0
"TCGA-A6-5659-01A"	0	0	0	0	0.577751595008828	0
"TCGA-A6-5660-01A"	0	0	0	0	0.754587449759635	0
"TCGA-A6-5661-01A"	0	0	0	0.855272492570131	0	0
"TCGA-A6-5662-11A"	0	1.2932762680485	0	0	0	0
"TCGA-A6-5662-01A"	0	0	0	0	0.623381384132521	0
"TCGA-A6-5664-01A"	0	0	0	1.42819077786531	0	0
"TCGA-A6-5665-11A"	0	1.31075179747974	0	0	0	0
"TCGA-A6-5665-01A"	0	0	0	0.722776992607796	0	0
"TCGA-A6-5666-01A"	0	0	0	0.409866264394545	0	0
"TCGA-A6-5667-11A"	1.14479999878693	0	0	0	0	0
"TCGA-A6-5667-01A"	0	0	0	0	0.691207109552454	0
"TCGA-A6-6137-01A"	0	0.866246555710257	0	0	0	0
"TCGA-A6-6138-01A"	0	0	0	0	0	1.34679567133114
"TCGA-A6-6140-01A"	0	0	0	0.625498893167025	0	0
"TCGA-A6-6141-01A"	0	0.899717046229339	0	0	0	0
"TCGA-A6-6142-01A"	0	0	0	1.60976517617595	0	0
"TCGA-A6-6648-01A"	0	0	0.649166491733753	0	0	0
"TCGA-A6-6649-01A"	0	1.04882880641831	0	0	0	0
"TCGA-A6-6650-01A"	0	0	0.573236662273237	0	0	0
"TCGA-A6-6651-01A"	0	0	0	0	1.86852771139105	0
"TCGA-A6-6652-01A"	0	0	0.645185945290048	0	0	0
"TCGA-A6-6653-01A"	0	0	0	1.08320602460072	0	0
"TCGA-A6-6654-01A"	0	0	0	0	0	2.5086197681958
"TCGA-A6-6780-01A"	0	0	0	0	0	1.34882479265735
"TCGA-A6-6781-01A"	0	0	0	2.43442678997329	0	0
"TCGA-A6-6782-01A"	0	0	0	0	1.01662143490868	0
"TCGA-A6-A565-01A"	0	1.60282922372052	0	0	0	0
"TCGA-A6-A566-01A"	0	0	0	0	0	2.28167589843896
"TCGA-A6-A567-01A"	0	0	0.680643807791265	0	0	0
"TCGA-A6-A56B-01A"	0	0	0.791548559270362	0	0	0
"TCGA-A6-A5ZU-01A"	0	0	0	0	0	1.17162226959165
"TCGA-AA-3489-11A"	0	0	0	1.47673605359889	0	0
"TCGA-AA-3489-01A"	1.76643467519339	0	0	0	0	0
"TCGA-AA-3492-01A"	0	0	0	0.748384427115835	0	0
"TCGA-AA-3495-01A"	0	0	0	0.644892964759044	0	0
"TCGA-AA-3496-11A"	0	0	0	0	1.08019243754866	0
"TCGA-AA-3496-01A"	0	0	0	0	1.12658482253574	0
"TCGA-AA-3502-01A"	0	0	0	0	0.565969794970534	0
"TCGA-AA-3506-01A"	0	0	0	0.863066629554791	0	0
"TCGA-AA-3509-01A"	0	0	0	0	0.699739451102818	0
"TCGA-AA-3511-11A"	1.14460223555219	0	0	0	0	0
"TCGA-AA-3511-01A"	0	0	0.947823369712138	0	0	0
"TCGA-AA-3514-11A"	0	0	0	1.52367210471	0	0
"TCGA-AA-3516-11A"	0	0	1.60739138788085	0	0	0
"TCGA-AA-3517-11A"	1.30106325684023	0	0	0	0	0
"TCGA-AA-3518-11A"	0	0	0	0	1.11881207265753	0
"TCGA-AA-3520-11A"	0	0	0	0	1.22425141491056	0
"TCGA-AA-3522-11A"	0	0	0	0	1.12962207217885	0
"TCGA-AA-3525-11A"	1.36218479185695	0	0	0	0	0
"TCGA-AA-3526-01A"	0	0	0	0.85265210124534	0	0
"TCGA-AA-3527-11A"	0	0	0	0	1.27556684965622	0
"TCGA-AA-3531-11A"	0	0	0	1.35208316813516	0	0
"TCGA-AA-3534-11A"	0	0	0	0	1.12934832537113	0
