"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-18-3406-01A"	2.37193996486789	0	0	0	0	0
"TCGA-18-3407-01A"	0	0	1.08526769323016	0	0	0
"TCGA-18-3408-01A"	0	0	0	0	0.742038246692019	0
"TCGA-18-3409-01A"	0	0	0	0	1.37248358787556	0
"TCGA-18-3410-01A"	0	0	0	1.01931863425787	0	0
"TCGA-18-3411-01A"	0	0	0	0	0.76059989909467	0
"TCGA-18-3412-01A"	0	0	0	0.767305015752218	0	0
"TCGA-18-3414-01A"	0	0	0	0.783549657291572	0	0
"TCGA-18-3415-01A"	0	0	0	0.952816866801645	0	0
"TCGA-18-3416-01A"	0	0	0	0.965345356070367	0	0
"TCGA-18-3417-01A"	0	0	1.37080820745008	0	0	0
"TCGA-18-3419-01A"	0	0	0	0.851833446743292	0	0
"TCGA-18-3421-01A"	0	0	0	0.772601554621015	0	0
"TCGA-18-4083-01A"	0	0	0.642609910228649	0	0	0
"TCGA-18-4086-01A"	0	0	0	0.777707202759918	0	0
"TCGA-18-4721-01A"	0.97174024658337	0	0	0	0	0
"TCGA-18-5592-01A"	0	0	0.595600823389936	0	0	0
"TCGA-18-5595-01A"	0	0	0	0	0	0.537893843296269
"TCGA-21-1070-01A"	0	0	0	1.28183683917054	0	0
"TCGA-21-1071-01A"	0	0	0	0.900921700890848	0	0
"TCGA-21-1072-01A"	0	0	0	0.633493505969264	0	0
"TCGA-21-1075-01A"	0.379373222924076	0	0	0	0	0
"TCGA-21-1076-01A"	0	0	0	0	1.81480435317405	0
"TCGA-21-1077-01A"	0	0	0	0	0	0.831763429641816
"TCGA-21-1078-01A"	0	0.642532299271269	0	0	0	0
"TCGA-21-1079-01A"	0	0	2.21739219173572	0	0	0
"TCGA-21-1080-01A"	0	0	0	0.625689186715988	0	0
"TCGA-21-1081-01A"	0	0	0.702719279351457	0	0	0
"TCGA-21-1082-01A"	0.803725926747354	0	0	0	0	0
"TCGA-21-1083-01A"	0.894444339567919	0	0	0	0	0
"TCGA-21-5782-01A"	0	0.865620458451022	0	0	0	0
"TCGA-21-5783-01A"	0	0	1.11509372051784	0	0	0
"TCGA-21-5784-01A"	0	0	0	1.06317463858087	0	0
"TCGA-21-5786-01A"	0	0	0.838019078805041	0	0	0
"TCGA-21-5787-01A"	0	0	1.10280618151965	0	0	0
"TCGA-21-A5DI-01A"	0	0	0	0.958081460191818	0	0
"TCGA-22-0940-01A"	0	0	0	0	0	1.32486957705581
"TCGA-22-0944-01A"	0	0	0	0.744423816824838	0	0
"TCGA-22-1000-01A"	0	0	0	0	1.75739901331689	0
"TCGA-22-1002-01A"	0	0	0	1.0259546313102	0	0
"TCGA-22-1005-01A"	1.53721398892648	0	0	0	0	0
"TCGA-22-1011-01A"	0	0	0	1.05273645778307	0	0
"TCGA-22-1012-01A"	0	0	0.708512243507165	0	0	0
"TCGA-22-1016-01A"	0	0	0	0	1.28695115675709	0
"TCGA-22-1017-01A"	0	0	0	0	1.02598236722386	0
"TCGA-22-4591-01A"	0.613225371214039	0	0	0	0	0
"TCGA-22-4593-11A"	0	0	0	0	1.96931164784674	0
"TCGA-22-4593-01A"	0	0	0.807990248482228	0	0	0
"TCGA-22-4594-01A"	0.986831899623108	0	0	0	0	0
"TCGA-22-4595-01A"	0	0	0	0	1.07303712232889	0
"TCGA-22-4596-01A"	0	0	0	0	0	1.74092264491519
"TCGA-22-4599-01A"	0	0	0	0	0.967024005400029	0
"TCGA-22-4601-01A"	0.569951076332755	0	0	0	0	0
"TCGA-22-4604-01A"	0	0	0	0	0	1.20310871818572
"TCGA-22-4605-01A"	0	0	0	0	0	1.09098681406379
"TCGA-22-4607-01A"	0	0	0	0.846526376281716	0	0
"TCGA-22-4609-11A"	0	0	0	1.667923205754	0	0
"TCGA-22-4609-01A"	0	0	0	0	1.33054720916796	0
"TCGA-22-4613-01A"	0	0	0	0	0.720479057806371	0
"TCGA-22-5471-11A"	0	0	0	0	1.55894756224995	0
"TCGA-22-5471-01A"	0	0	0.869472756880478	0	0	0
"TCGA-22-5472-11A"	0	0	0	0	1.50587731777895	0
"TCGA-22-5472-01A"	0	0	0	0	0.785476623575887	0
"TCGA-22-5473-01A"	0	0	0.643052240644762	0	0	0
"TCGA-22-5474-01A"	0.99639180314172	0	0	0	0	0
"TCGA-22-5477-01A"	0	0	0.46883337724472	0	0	0
"TCGA-22-5478-11A"	0	0	0	0	1.74843012225632	0
"TCGA-22-5478-01A"	0	0	0	0	0.873500074490556	0
"TCGA-22-5479-01A"	0	0	0.632708475373498	0	0	0
"TCGA-22-5480-01A"	1.17811470150268	0	0	0	0	0
"TCGA-22-5481-11A"	0	0	0	0	1.4457793793158	0
"TCGA-22-5481-01A"	0.703364467814191	0	0	0	0	0
"TCGA-22-5482-11A"	0	0	0	0	1.50863295800702	0
"TCGA-22-5482-01A"	0	0	0	0	0	0.823249440910625
"TCGA-22-5483-11A"	0	0	0	0	1.83775813321988	0
"TCGA-22-5483-01A"	0	0	0	0	0.800449006025924	0
"TCGA-22-5485-01A"	0	0	0	0	0.534774325588124	0
"TCGA-22-5489-11A"	0	0	0	0	1.26473217051618	0
"TCGA-22-5489-01A"	0	0	0	1.36725355350097	0	0
"TCGA-22-5491-11A"	0	0	0	0	1.1874190427717	0
"TCGA-22-5491-01A"	0	0	0	0.486421292459603	0	0
"TCGA-22-5492-01A"	0	0	0	0	0.967746565971581	0
"TCGA-22-A5C4-01A"	0	0	0	0	0.663816696202703	0
"TCGA-33-4532-01A"	0	0.441112319163795	0	0	0	0
"TCGA-33-4533-01A"	0	0	0	0	0	0.953572395324463
"TCGA-33-4538-01A"	0	0	0	0.549605421569976	0	0
"TCGA-33-4547-01A"	0	0	0	0.946002438715882	0	0
"TCGA-33-4566-01A"	0	0	0	0	0	1.24251805178082
"TCGA-33-4582-01A"	0	0	0	0	0	0.610730609894634
"TCGA-33-4583-01A"	0	0	0	0.623612953744648	0	0
"TCGA-33-4586-01A"	0	0	0.621818823901668	0	0	0
"TCGA-33-4587-11A"	0	0	0	0	1.39139465291504	0
"TCGA-33-4587-01A"	0	0	0	0.444119999230103	0	0
"TCGA-33-4589-01A"	0	0	0	0	0	1.75730819920818
"TCGA-33-6737-11A"	0	1.35425198815904	0	0	0	0
"TCGA-33-6737-01A"	0	0	0	0	1.07718421218476	0
"TCGA-33-6738-01A"	0	0	0.77038649785126	0	0	0
"TCGA-33-A4WN-01A"	0	0	0	0.511393471609976	0	0
"TCGA-33-A5GW-01A"	0.551751931030703	0	0	0	0	0
"TCGA-33-AAS8-01A"	0.407969697985041	0	0	0	0	0
"TCGA-33-AASB-01A"	0	0	0	0	0	0.735081755645337
"TCGA-33-AASD-01A"	0	0	0	0	0	0.68060739181658
"TCGA-33-AASI-01A"	0	0.721287920982121	0	0	0	0
"TCGA-33-AASJ-01A"	0	0.425048065942659	0	0	0	0
"TCGA-33-AASL-01A"	0	0	0.703968568115134	0	0	0
"TCGA-34-2596-01A"	0.678451870399145	0	0	0	0	0
"TCGA-34-2600-01A"	0	0	0	0	0.558135824454829	0
"TCGA-34-2608-01A"	0	0	0	0	1.3313660700373	0
"TCGA-34-5231-01A"	0	0.554099455952008	0	0	0	0
"TCGA-34-5232-01A"	0	0	0	1.01176991658066	0	0
"TCGA-34-5234-01A"	0	0	0	1.62995876752418	0	0
"TCGA-34-5236-01A"	0	0	0	0	0	1.35259776744762
"TCGA-34-5239-01A"	1.2107848491881	0	0	0	0	0
"TCGA-34-5240-01A"	0	0	0	0	0.676711172712233	0
"TCGA-34-5241-01A"	0	0	0	1.30283917341524	0	0
"TCGA-34-5927-01A"	0	0.453470846707494	0	0	0	0
"TCGA-34-5928-01A"	0	0	1.62043094614563	0	0	0
"TCGA-34-5929-01A"	0	0.793323046793223	0	0	0	0
"TCGA-34-7107-11A"	0	0	0	0	2.53211087845785	0
"TCGA-34-7107-01A"	0.744344727741235	0	0	0	0	0
"TCGA-34-8454-11A"	0	0	0	0	1.36102871417512	0
"TCGA-34-8454-01A"	0	0	0	1.16621182477496	0	0
"TCGA-34-8455-01A"	0	0	1.00974911815125	0	0	0
"TCGA-34-8456-01A"	0	0.518978346506878	0	0	0	0
