"B_cell"	"T_cell.CD4"	"T_cell.CD8"	"Neutrophil"	"Macrophage"	"DC"
"TCGA-04-1348-01A"	0.117713009689014	0.147287362792066	0.349043039955327	0.169020508976464	0.066951244847639	0.655577931644922
"TCGA-04-1357-01A"	0.16888937404704	0.307445393358541	0.747030530523283	0.20258311714029	0.134750387256732	0.711350190528203
"TCGA-04-1362-01A"	0.173199796111183	0.100356773216991	0.161690862405876	0.119711676922621	0.00998827540442865	0.396946139248836
"TCGA-04-1364-01A"	0.146188718549708	0.0637407959411066	0.0866991110653439	0	0	0.244640748833699
"TCGA-04-1365-01A"	0.0872227691986088	0.0980788614380359	0.281814001468519	0.147883610512481	0.0138762390201857	0.580162886049991
"TCGA-04-1514-01A"	0.0188724075516626	0.152040475198641	0.0612673353872166	0.00518968178495193	0.0130313691279491	0.238923203149431
"TCGA-04-1519-01A"	0.0959154299811547	0.0531664585032564	0.121319013322962	0.0442165259367231	0	0.180951322411921
"TCGA-09-0364-01A"	0.0980550169676776	0.0864308641775179	0.0681779406622035	0	0	0.214328014029474
"TCGA-09-0366-01A"	0.0886163363803802	0.320931423475066	0	0.329219288731148	0.522271866498523	0.569810463297419
"TCGA-09-0367-01A"	0.0939983430563693	0.0594372288511322	0.202156150898578	0.104255284861762	0	0.427990766718495
"TCGA-09-0369-01A"	0.0603510594144593	0.169703209163116	0.000770055139034052	0.0374621483697732	0.0878381827424012	0.286239883154901
"TCGA-09-1659-01B"	0.146322030115402	0.0385730720497618	0.259401691867304	0.100563676292598	0	0.411169146497128
"TCGA-09-1662-01A"	0.180213403272232	0.263191349526269	0.0508387947300716	0.13795727626137	0.0544678872481782	0.501385947402687
"TCGA-09-1666-01A"	0.0567772322722627	0.103681308033275	0.261694243223818	0.120590510676423	0.00972435610925322	0.569955667886011
"TCGA-09-1667-01C"	0.0356355309352739	0.0491751569630521	0.362320348886902	0.187179866387414	0.0939003292517153	0.537689309076882
"TCGA-09-1668-01B"	0.040575802505026	0.217275323988797	0.18783255768883	0.23945636717822	0	0.598287378506706
"TCGA-09-1669-01A"	0.172209441084873	0.100413283391681	0.213981982202134	0.0743127704611797	0	0.409527015166738
