ID	adj.P.Val	P.Value	F	GENE_SYMBOL	GENE_NAME	AveExpr	GO_ID
4670	4670	2.27313372829893e-120	7.89831038324856e-124	6452.87497533289	KLF12	Kruppel-like factor 12	0.0848918080392157	GO:0000122(negative regulation of transcription from RNA polymerase II promoter)|GO:0003700(transcription factor activity)|GO:0003714(transcription corepressor activity)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006350(transcription)|GO:0008270(zinc ion binding)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0046872(metal ion binding)
5325	5325	2.44467538785615e-120	1.06179438318978e-123	6413.51986702519	BMP2K	BMP2 inducible kinase	0.112199863401961	GO:0000166(nucleotide binding)|GO:0004674(protein serine/threonine kinase activity)|GO:0005524(ATP binding)|GO:0005634(nucleus)|GO:0006468(protein amino acid phosphorylation)|GO:0016740(transferase activity)
44139	44139	3.05868008766687e-120	1.59416960788753e-123	6359.85833291233	LOC341378	similar to Golgi-associated microtubule-binding protein	0.112075713264706	
9221	9221	3.53823011589995e-120	2.15146028590163e-123	6320.55972005731	CHRD	chordin	0.129810859529412	GO:0001501(skeletal system development)|GO:0005576(extracellular region)|GO:0005615(extracellular space)|GO:0007275(multicellular organismal development)|GO:0019955(cytokine binding)|GO:0021919(BMP signaling pathway in spinal cord dorsal-ventral patterning)|GO:0030336(negative regulation of cell migration)|GO:0030514(negative regulation of BMP signaling pathway)|GO:0033504(floor plate development)|GO:0045785(positive regulation of cell adhesion)
26551	26551	7.87359318910088e-120	5.47157275128623e-123	6199.74625692624	NIPA1	non imprinted in Prader-Willi/Angelman syndrome 1	0.0600069099509804	GO:0016020(membrane)|GO:0016021(integral to membrane)
4102	4102	8.84712739114592e-120	6.91662148369643e-123	6169.77608390964	SEC23IP	SEC23 interacting protein	0.0892813187941177	GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0005783(endoplasmic reticulum)|GO:0005793(ER-Golgi intermediate compartment)|GO:0006886(intracellular protein transport)|GO:0007030(Golgi organization)|GO:0016020(membrane)|GO:0031410(cytoplasmic vesicle)|GO:0046872(metal ion binding)
35028	35028	2.05716005406532e-119	1.9656671816121e-122	6037.95375419522			0.0727986196078431	
8420	8420	6.38143412998725e-119	6.65194662611596e-122	5887.64515606401	CCNY	cyclin Y	-0.0797804417647059	GO:0005634(nucleus)
1772	1772	2.60047592003929e-118	3.61428202924155e-121	5685.12333553503			0.116438783754902	
5093	5093	2.72290951159969e-118	4.02097478259162e-121	5672.59967590104	TEX101	testis expressed 101	0.133182393911765	GO:0005886(plasma membrane)|GO:0031225(anchored to membrane)
5057	5057	3.45082820293716e-118	5.39566605740695e-121	5638.20376495845			0.101094643234345	
44654	44654	4.0523626628123e-118	6.92923411295899e-121	5609.10847687247	C19orf61	chromosome 19 open reading frame 61	0.118557766411765	GO:0005622(intracellular)
20444	20444	4.0523626628123e-118	7.24797232472267e-121	5603.8936339762	PRRG3	proline rich Gla (G-carboxyglutamic acid) 3 (transmembrane)	0.0628078245882353	GO:0005509(calcium ion binding)|GO:0005576(extracellular region)|GO:0008150(biological_process)|GO:0016020(membrane)|GO:0016021(integral to membrane)
41862	41862	4.0523626628123e-118	7.55924905368287e-121	5599.02202995895			0.130871157543195	
30034	30034	4.0523626628123e-118	7.7442649914759e-121	5596.22254929466	WDFY3	WD repeat and FYVE domain containing 3	0.0847574905686274	GO:0005488(binding)|GO:0008270(zinc ion binding)|GO:0016020(membrane)|GO:0046872(metal ion binding)
4225	4225	7.46212424545444e-118	1.55568955777368e-120	5516.06275397869	LOC647954	similar to keratin 8	0.106639214558824	
20018	20018	7.66290163932929e-118	1.66411171806143e-120	5508.38145318033	LOC441052	hypothetical gene supported by AF131741	-0.105974060990196	
3773	3773	9.5928441209631e-118	2.16655617742391e-120	5478.4021321441			0.116589374686275	
41287	41287	1.84711384384587e-117	4.49263269872171e-120	5396.37988031977			0.123975262960784	
43259	43259	1.94635076622137e-117	4.90307263902188e-120	5386.63018366433			-0.0735534542745098	
43191	43191	2.19605923118238e-117	5.72287846902982e-120	5369.43060235816	PPID	peptidylprolyl isomerase D	0.11598598427451	GO:0003755(peptidyl-prolyl cis-trans isomerase activity)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0006457(protein folding)|GO:0016018(cyclosporin A binding)|GO:0016853(isomerase activity)
5113	5113	4.52598792304384e-117	1.29740793485447e-119	5279.28647805711	TEAD3	TEA domain family member 3	0.125230662196078	GO:0003700(transcription factor activity)|GO:0003702(RNA polymerase II transcription factor activity)|GO:0005634(nucleus)|GO:0005667(transcription factor complex)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006357(regulation of transcription from RNA polymerase II promoter)|GO:0007565(female pregnancy)|GO:0016563(transcription activator activity)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)
42386	42386	4.62223242882791e-117	1.36514856306592e-119	5273.73121423271	EVI1	ecotropic viral integration site 1	0.0837752903627451	GO:0001701(in utero embryonic development)|GO:0001780(neutrophil homeostasis)|GO:0003674(molecular_function)|GO:0003677(DNA binding)|GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0006954(inflammatory response)|GO:0007275(multicellular organismal development)|GO:0008150(biological_process)|GO:0008270(zinc ion binding)|GO:0009605(response to external stimulus)|GO:0009617(response to bacterium)|GO:0009791(post-embryonic development)|GO:0030900(forebrain development)|GO:0035115(embryonic forelimb morphogenesis)|GO:0035116(embryonic hindlimb morphogenesis)|GO:0042127(regulation of cell proliferation)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)|GO:0046872(metal ion binding)|GO:0060039(pericardium development)
38760	38760	5.05991735583398e-117	1.56483419548792e-119	5258.85895223727	FBXW2	F-box and WD repeat domain containing 2	0.0894667023921569	GO:0004842(ubiquitin-protein ligase activity)|GO:0005515(protein binding)|GO:0005737(cytoplasm)|GO:0006464(protein modification process)|GO:0006508(proteolysis)|GO:0006511(ubiquitin-dependent protein catabolic process)
44408	44408	5.05991735583398e-117	1.58232300912112e-119	5257.65000676822			0.144553144656863	
9283	9283	6.18723463591282e-117	1.98860043023605e-119	5232.85214191781			0.103197897794118	
23231	23231	1.29333222200803e-116	4.26916473560676e-119	5150.79742920094	CARD8	caspase recruitment domain family, member 8	-0.0924358028333333	GO:0005515(protein binding)|GO:0005622(intracellular)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0008656(caspase activator activity)|GO:0032089(NACHT domain binding)|GO:0042803(protein homodimerization activity)|GO:0042981(regulation of apoptosis)|GO:0043124(negative regulation of I-kappaB kinase/NF-kappaB cascade)|GO:0043280(positive regulation of caspase activity)|GO:0050718(positive regulation of interleukin-1 beta secretion)
8473	8473	1.412466642563e-116	4.90780626324879e-119	5135.96342560704			-0.0873029671862745	
22000	22000	2.56133596341251e-116	9.12220070360607e-119	5070.51768666481	FAM148C	family with sequence similarity 148, member C	0.0637277002745098	
8430	8430	2.65370010423513e-116	9.68167167980156e-119	5064.27726014773			0.0817210836568628	
30455	30455	3.47509719565526e-116	1.32151719098666e-118	5031.78274231141	CCNH	cyclin H	0.0742455770196079	GO:0000718(nucleotide-excision repair, DNA damage removal)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005654(nucleoplasm)|GO:0006350(transcription)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006367(transcription initiation from RNA polymerase II promoter)|GO:0006368(RNA elongation from RNA polymerase II promoter)|GO:0007049(cell cycle)|GO:0016301(kinase activity)|GO:0019907(cyclin-dependent protein kinase activating kinase holoenzyme complex)|GO:0045944(positive regulation of transcription from RNA polymerase II promoter)
42936	42936	3.47509719565526e-116	1.32821644031299e-118	5031.25635531805	PLCD3	phospholipase C, delta 3	0.122324668102435	GO:0001525(angiogenesis)|GO:0001890(placenta development)|GO:0004435(phosphoinositide phospholipase C activity)|GO:0004871(signal transducer activity)|GO:0005509(calcium ion binding)|GO:0005737(cytoplasm)|GO:0007242(intracellular signaling cascade)|GO:0016020(membrane)|GO:0016042(lipid catabolic process)|GO:0016787(hydrolase activity)
4911	4911	4.03845099616314e-116	1.61369654120487e-118	5011.03077539314	NR3C1	nuclear receptor subfamily 3, group C, member 1 (glucocorticoid receptor)	0.113572634627451	GO:0003700(transcription factor activity)|GO:0004883(glucocorticoid receptor activity)|GO:0005496(steroid binding)|GO:0005515(protein binding)|GO:0005634(nucleus)|GO:0005730(nucleolus)|GO:0005737(cytoplasm)|GO:0005759(mitochondrial matrix)|GO:0006355(regulation of transcription, DNA-dependent)|GO:0006366(transcription from RNA polymerase II promoter)|GO:0007165(signal transduction)|GO:0007530(sex determination)|GO:0008270(zinc ion binding)|GO:0016568(chromatin modification)|GO:0043565(sequence-specific DNA binding)|GO:0046872(metal ion binding)|GO:0051789(response to protein stimulus)
31899	31899	4.08705899684245e-116	1.66862207133074e-118	5007.56182312084	TPD52	tumor protein D52	0.0894989642843137	GO:0005509(calcium ion binding)|GO:0005737(cytoplasm)|GO:0005783(endoplasmic reticulum)|GO:0009653(anatomical structure morphogenesis)|GO:0030183(B cell differentiation)|GO:0042803(protein homodimerization activity)|GO:0046903(secretion)|GO:0046982(protein heterodimerization activity)|GO:0048471(perinuclear region of cytoplasm)
44400	44400	4.84397406207699e-116	2.01972511274927e-118	4987.81581262861	ADPRHL2	ADP-ribosylhydrolase like 2	0.130351945176471	GO:0000287(magnesium ion binding)|GO:0004649(poly(ADP-ribose) glycohydrolase activity)|GO:0005634(nucleus)|GO:0005737(cytoplasm)|GO:0016787(hydrolase activity)
